action,landmark,plan_id,order,goal
open door to hallway,False,9,0,Your task is to boil apple juice
go to hallway,False,9,1,Your task is to boil apple juice
open door to kitchen,True,9,2,Your task is to boil apple juice
go to kitchen,True,9,3,Your task is to boil apple juice
pick up thermometer,True,9,4,Your task is to boil apple juice
open cupboard,True,9,5,Your task is to boil apple juice
pick up metal pot,True,9,6,Your task is to boil apple juice
open freezer,True,9,7,Your task is to boil apple juice
open drawer in counter,False,9,8,Your task is to boil apple juice
open oven,False,9,9,Your task is to boil apple juice
open glass jar,False,9,10,Your task is to boil apple juice
open fridge,True,9,11,Your task is to boil apple juice
focus on apple juice,True,9,12,Your task is to boil apple juice
pour jug into metal pot,False,9,13,Your task is to boil apple juice
pick up metal pot,True,9,14,Your task is to boil apple juice
move metal pot to stove,True,9,15,Your task is to boil apple juice
activate stove,True,9,16,Your task is to boil apple juice
pick up metal pot,True,9,17,Your task is to boil apple juice
open door to outside,False,9,18,Your task is to boil apple juice
go to outside,False,9,19,Your task is to boil apple juice
open door to foundry,False,9,20,Your task is to boil apple juice
go to foundry,False,9,21,Your task is to boil apple juice
open blast furnace,False,9,22,Your task is to boil apple juice
move metal pot to blast furnace,False,9,23,Your task is to boil apple juice
activate blast furnace,False,9,24,Your task is to boil apple juice
examine apple juice,True,9,25,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,9,26,Your task is to boil apple juice
examine apple juice,True,9,27,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,9,28,Your task is to boil apple juice
