action,landmark,plan_id,order,goal
pick up thermometer,True,11,0,Your task is to boil chocolate
open cupboard,True,11,1,Your task is to boil chocolate
pick up metal pot,True,11,2,Your task is to boil chocolate
open freezer,True,11,3,Your task is to boil chocolate
open drawer in counter,True,11,4,Your task is to boil chocolate
open drawer in cupboard,True,11,5,Your task is to boil chocolate
open fridge,True,11,6,Your task is to boil chocolate
focus on chocolate,True,11,7,Your task is to boil chocolate
move chocolate to metal pot,True,11,8,Your task is to boil chocolate
pick up metal pot,True,11,9,Your task is to boil chocolate
move metal pot to stove,True,11,10,Your task is to boil chocolate
activate stove,True,11,11,Your task is to boil chocolate
pick up metal pot,True,11,12,Your task is to boil chocolate
open door to outside,False,11,13,Your task is to boil chocolate
go to outside,False,11,14,Your task is to boil chocolate
open door to foundry,False,11,15,Your task is to boil chocolate
go to foundry,False,11,16,Your task is to boil chocolate
open blast furnace,False,11,17,Your task is to boil chocolate
move metal pot to blast furnace,False,11,18,Your task is to boil chocolate
activate blast furnace,False,11,19,Your task is to boil chocolate
examine chocolate,True,11,20,Your task is to boil chocolate
use thermometer in inventory on chocolate,True,11,21,Your task is to boil chocolate
examine chocolate,True,11,22,Your task is to boil chocolate
