action,landmark,plan_id,order,goal
open door to hallway,True,27,0,Your task is to boil gallium
go to hallway,True,27,1,Your task is to boil gallium
open door to kitchen,True,27,2,Your task is to boil gallium
go to kitchen,True,27,3,Your task is to boil gallium
pick up thermometer,True,27,4,Your task is to boil gallium
open cupboard,True,27,5,Your task is to boil gallium
pick up metal pot,True,27,6,Your task is to boil gallium
open freezer,True,27,7,Your task is to boil gallium
open glass jar,True,27,8,Your task is to boil gallium
open oven,True,27,9,Your task is to boil gallium
open drawer in cupboard,True,27,10,Your task is to boil gallium
open fridge,True,27,11,Your task is to boil gallium
open drawer in counter,True,27,12,Your task is to boil gallium
open door to bathroom,True,27,13,Your task is to boil gallium
go to bathroom,True,27,14,Your task is to boil gallium
open door to kitchen,True,27,15,Your task is to boil gallium
go to kitchen,True,27,16,Your task is to boil gallium
open door to outside,True,27,17,Your task is to boil gallium
go to outside,True,27,18,Your task is to boil gallium
open door to foundry,True,27,19,Your task is to boil gallium
go to foundry,True,27,20,Your task is to boil gallium
open door to outside,True,27,21,Your task is to boil gallium
go to outside,True,27,22,Your task is to boil gallium
open door to green house,True,27,23,Your task is to boil gallium
go to green house,True,27,24,Your task is to boil gallium
open door to hallway,True,27,25,Your task is to boil gallium
go to hallway,True,27,26,Your task is to boil gallium
open door to workshop,True,27,27,Your task is to boil gallium
go to workshop,True,27,28,Your task is to boil gallium
pick up gallium,True,27,29,Your task is to boil gallium
open door to hallway,True,27,30,Your task is to boil gallium
go to hallway,True,27,31,Your task is to boil gallium
open door to kitchen,True,27,32,Your task is to boil gallium
go to kitchen,True,27,33,Your task is to boil gallium
focus on gallium,True,27,34,Your task is to boil gallium
move gallium to metal pot,True,27,35,Your task is to boil gallium
pick up metal pot,True,27,36,Your task is to boil gallium
move metal pot to stove,True,27,37,Your task is to boil gallium
activate stove,True,27,38,Your task is to boil gallium
pick up metal pot,True,27,39,Your task is to boil gallium
open door to outside,True,27,40,Your task is to boil gallium
go to outside,True,27,41,Your task is to boil gallium
open door to foundry,True,27,42,Your task is to boil gallium
go to foundry,True,27,43,Your task is to boil gallium
open blast furnace,True,27,44,Your task is to boil gallium
move metal pot to blast furnace,True,27,45,Your task is to boil gallium
activate blast furnace,True,27,46,Your task is to boil gallium
examine liquid gallium,True,27,47,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,48,Your task is to boil gallium
examine liquid gallium,True,27,49,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,50,Your task is to boil gallium
examine liquid gallium,True,27,51,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,52,Your task is to boil gallium
examine liquid gallium,True,27,53,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,54,Your task is to boil gallium
examine liquid gallium,True,27,55,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,56,Your task is to boil gallium
examine liquid gallium,True,27,57,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,58,Your task is to boil gallium
examine liquid gallium,True,27,59,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,60,Your task is to boil gallium
examine liquid gallium,True,27,61,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,62,Your task is to boil gallium
examine liquid gallium,True,27,63,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,64,Your task is to boil gallium
examine liquid gallium,True,27,65,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,66,Your task is to boil gallium
examine liquid gallium,True,27,67,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,68,Your task is to boil gallium
examine liquid gallium,True,27,69,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,70,Your task is to boil gallium
examine liquid gallium,True,27,71,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,72,Your task is to boil gallium
examine liquid gallium,True,27,73,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,74,Your task is to boil gallium
examine liquid gallium,True,27,75,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,76,Your task is to boil gallium
examine liquid gallium,True,27,77,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,78,Your task is to boil gallium
examine liquid gallium,True,27,79,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,80,Your task is to boil gallium
examine liquid gallium,True,27,81,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,82,Your task is to boil gallium
examine liquid gallium,True,27,83,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,84,Your task is to boil gallium
examine liquid gallium,True,27,85,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,86,Your task is to boil gallium
examine liquid gallium,True,27,87,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,88,Your task is to boil gallium
examine liquid gallium,True,27,89,Your task is to boil gallium
use thermometer in inventory on liquid gallium,True,27,90,Your task is to boil gallium
examine liquid gallium,True,27,91,Your task is to boil gallium
