action,landmark,plan_id,order,goal
open door to hallway,False,5,0,Your task is to boil ice
go to hallway,False,5,1,Your task is to boil ice
open door to kitchen,True,5,2,Your task is to boil ice
go to kitchen,True,5,3,Your task is to boil ice
pick up thermometer,True,5,4,Your task is to boil ice
open cupboard,True,5,5,Your task is to boil ice
pick up metal pot,True,5,6,Your task is to boil ice
open freezer,True,5,7,Your task is to boil ice
focus on ice,True,5,8,Your task is to boil ice
move ice to metal pot,True,5,9,Your task is to boil ice
pick up metal pot,True,5,10,Your task is to boil ice
move metal pot to stove,True,5,11,Your task is to boil ice
activate stove,True,5,12,Your task is to boil ice
pick up metal pot,True,5,13,Your task is to boil ice
open door to outside,False,5,14,Your task is to boil ice
go to outside,False,5,15,Your task is to boil ice
open door to foundry,False,5,16,Your task is to boil ice
go to foundry,False,5,17,Your task is to boil ice
open blast furnace,False,5,18,Your task is to boil ice
move metal pot to blast furnace,False,5,19,Your task is to boil ice
activate blast furnace,False,5,20,Your task is to boil ice
examine substance in metal pot,True,5,21,Your task is to boil ice
use thermometer in inventory on substance in metal pot,True,5,22,Your task is to boil ice
examine substance in metal pot,True,5,23,Your task is to boil ice
