action,landmark,plan_id,order,goal
open door to kitchen,True,13,0,Your task is to boil marshmallow
go to kitchen,True,13,1,Your task is to boil marshmallow
pick up thermometer,True,13,2,Your task is to boil marshmallow
open cupboard,True,13,3,Your task is to boil marshmallow
pick up metal pot,True,13,4,Your task is to boil marshmallow
focus on marshmallow,True,13,5,Your task is to boil marshmallow
move marshmallow to metal pot,True,13,6,Your task is to boil marshmallow
pick up metal pot,True,13,7,Your task is to boil marshmallow
move metal pot to stove,True,13,8,Your task is to boil marshmallow
activate stove,True,13,9,Your task is to boil marshmallow
pick up metal pot,True,13,10,Your task is to boil marshmallow
open door to outside,True,13,11,Your task is to boil marshmallow
go to outside,True,13,12,Your task is to boil marshmallow
open door to foundry,True,13,13,Your task is to boil marshmallow
go to foundry,True,13,14,Your task is to boil marshmallow
open blast furnace,True,13,15,Your task is to boil marshmallow
move metal pot to blast furnace,True,13,16,Your task is to boil marshmallow
activate blast furnace,True,13,17,Your task is to boil marshmallow
examine marshmallow,True,13,18,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,13,19,Your task is to boil marshmallow
examine liquid marshmallow,True,13,20,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,13,21,Your task is to boil marshmallow
examine liquid marshmallow,True,13,22,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,13,23,Your task is to boil marshmallow
examine liquid marshmallow,True,13,24,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,13,25,Your task is to boil marshmallow
