action,landmark,plan_id,order,goal
open door to hallway,True,25,0,Your task is to boil mercury
go to hallway,True,25,1,Your task is to boil mercury
open door to kitchen,True,25,2,Your task is to boil mercury
go to kitchen,True,25,3,Your task is to boil mercury
pick up thermometer,True,25,4,Your task is to boil mercury
open cupboard,True,25,5,Your task is to boil mercury
pick up metal pot,True,25,6,Your task is to boil mercury
open oven,True,25,7,Your task is to boil mercury
open drawer in counter,True,25,8,Your task is to boil mercury
open glass jar,True,25,9,Your task is to boil mercury
open drawer in cupboard,True,25,10,Your task is to boil mercury
open freezer,True,25,11,Your task is to boil mercury
open fridge,True,25,12,Your task is to boil mercury
open door to bathroom,True,25,13,Your task is to boil mercury
go to bathroom,True,25,14,Your task is to boil mercury
open door to kitchen,True,25,15,Your task is to boil mercury
go to kitchen,True,25,16,Your task is to boil mercury
open door to outside,True,25,17,Your task is to boil mercury
go to outside,True,25,18,Your task is to boil mercury
open door to foundry,True,25,19,Your task is to boil mercury
go to foundry,True,25,20,Your task is to boil mercury
open door to outside,True,25,21,Your task is to boil mercury
go to outside,True,25,22,Your task is to boil mercury
open door to green house,True,25,23,Your task is to boil mercury
go to green house,True,25,24,Your task is to boil mercury
open door to hallway,True,25,25,Your task is to boil mercury
go to hallway,True,25,26,Your task is to boil mercury
open door to workshop,True,25,27,Your task is to boil mercury
go to workshop,True,25,28,Your task is to boil mercury
pick up cup,True,25,29,Your task is to boil mercury
open door to hallway,True,25,30,Your task is to boil mercury
go to hallway,True,25,31,Your task is to boil mercury
open door to kitchen,True,25,32,Your task is to boil mercury
go to kitchen,True,25,33,Your task is to boil mercury
focus on mercury,True,25,34,Your task is to boil mercury
pour cup containing mercury into metal pot,True,25,35,Your task is to boil mercury
pick up metal pot,True,25,36,Your task is to boil mercury
move metal pot to stove,True,25,37,Your task is to boil mercury
activate stove,True,25,38,Your task is to boil mercury
pick up metal pot,True,25,39,Your task is to boil mercury
open door to outside,True,25,40,Your task is to boil mercury
go to outside,True,25,41,Your task is to boil mercury
open door to foundry,True,25,42,Your task is to boil mercury
go to foundry,True,25,43,Your task is to boil mercury
open blast furnace,True,25,44,Your task is to boil mercury
move metal pot to blast furnace,True,25,45,Your task is to boil mercury
activate blast furnace,True,25,46,Your task is to boil mercury
examine mercury,True,25,47,Your task is to boil mercury
use thermometer in inventory on mercury,True,25,48,Your task is to boil mercury
examine mercury,True,25,49,Your task is to boil mercury
use thermometer in inventory on mercury,True,25,50,Your task is to boil mercury
examine mercury,True,25,51,Your task is to boil mercury
