action,landmark,variation,order,goal,task_id
open door to hallway,False,9,0,Your task is to freeze apple juice,task-1-freeze
go to hallway,False,9,1,Your task is to freeze apple juice,task-1-freeze
open door to kitchen,True,9,2,Your task is to freeze apple juice,task-1-freeze
go to kitchen,True,9,3,Your task is to freeze apple juice,task-1-freeze
pick up thermometer,True,9,4,Your task is to freeze apple juice,task-1-freeze
open cupboard,True,9,5,Your task is to freeze apple juice,task-1-freeze
pick up metal pot containing nothing,False,9,6,Your task is to freeze apple juice,task-1-freeze
open drawer in cupboard,False,9,7,Your task is to freeze apple juice,task-1-freeze
open freezer,True,9,8,Your task is to freeze apple juice,task-1-freeze
open oven,False,9,9,Your task is to freeze apple juice,task-1-freeze
open drawer in counter,False,9,10,Your task is to freeze apple juice,task-1-freeze
open glass jar,True,9,11,Your task is to freeze apple juice,task-1-freeze
open fridge,True,9,12,Your task is to freeze apple juice,task-1-freeze
focus on apple juice,True,9,13,Your task is to freeze apple juice,task-1-freeze
pour metal pot containing apple juice into metal pot containing nothing,False,9,14,Your task is to freeze apple juice,task-1-freeze
pick up metal pot containing apple juice,False,9,15,Your task is to freeze apple juice,task-1-freeze
open freezer,True,9,16,Your task is to freeze apple juice,task-1-freeze
move metal pot containing apple juice to freezer,False,9,17,Your task is to freeze apple juice,task-1-freeze
examine apple juice,True,9,18,Your task is to freeze apple juice,task-1-freeze
use thermometer in inventory on apple juice,True,9,19,Your task is to freeze apple juice,task-1-freeze
wait,True,9,20,Your task is to freeze apple juice,task-1-freeze
examine apple juice,True,9,21,Your task is to freeze apple juice,task-1-freeze
use thermometer in inventory on apple juice,True,9,22,Your task is to freeze apple juice,task-1-freeze
wait,True,9,23,Your task is to freeze apple juice,task-1-freeze
