action,landmark,variation,order,goal,task_id
open door to hallway,False,9,0,Your task is to melt apple juice,task-1-melt
go to hallway,False,9,1,Your task is to melt apple juice,task-1-melt
open door to kitchen,True,9,2,Your task is to melt apple juice,task-1-melt
go to kitchen,True,9,3,Your task is to melt apple juice,task-1-melt
pick up thermometer,True,9,4,Your task is to melt apple juice,task-1-melt
open cupboard,True,9,5,Your task is to melt apple juice,task-1-melt
pick up metal pot,False,9,6,Your task is to melt apple juice,task-1-melt
open oven,False,9,7,Your task is to melt apple juice,task-1-melt
open drawer in counter,False,9,8,Your task is to melt apple juice,task-1-melt
open fridge,True,9,9,Your task is to melt apple juice,task-1-melt
focus on apple juice,True,9,10,Your task is to melt apple juice,task-1-melt
pour cup containing apple juice into metal pot,False,9,11,Your task is to melt apple juice,task-1-melt
pick up metal pot,False,9,12,Your task is to melt apple juice,task-1-melt
open freezer,True,9,13,Your task is to melt apple juice,task-1-melt
move metal pot to freezer,False,9,14,Your task is to melt apple juice,task-1-melt
examine apple juice,True,9,15,Your task is to melt apple juice,task-1-melt
use thermometer in inventory on apple juice,True,9,16,Your task is to melt apple juice,task-1-melt
wait,True,9,17,Your task is to melt apple juice,task-1-melt
examine apple juice,True,9,18,Your task is to melt apple juice,task-1-melt
use thermometer in inventory on apple juice,True,9,19,Your task is to melt apple juice,task-1-melt
wait,True,9,20,Your task is to melt apple juice,task-1-melt
examine apple juice,True,9,21,Your task is to melt apple juice,task-1-melt
use thermometer in inventory on apple juice,True,9,22,Your task is to melt apple juice,task-1-melt
wait,True,9,23,Your task is to melt apple juice,task-1-melt
pick up metal pot,False,9,24,Your task is to melt apple juice,task-1-melt
pick up metal pot,False,9,25,Your task is to melt apple juice,task-1-melt
move metal pot to stove,False,9,26,Your task is to melt apple juice,task-1-melt
activate stove,True,9,27,Your task is to melt apple juice,task-1-melt
pick up metal pot,False,9,28,Your task is to melt apple juice,task-1-melt
open door to outside,False,9,29,Your task is to melt apple juice,task-1-melt
go to outside,False,9,30,Your task is to melt apple juice,task-1-melt
open door to foundry,False,9,31,Your task is to melt apple juice,task-1-melt
go to foundry,False,9,32,Your task is to melt apple juice,task-1-melt
open blast furnace,False,9,33,Your task is to melt apple juice,task-1-melt
move metal pot to blast furnace,False,9,34,Your task is to melt apple juice,task-1-melt
activate blast furnace,False,9,35,Your task is to melt apple juice,task-1-melt
