action,landmark,variation,order,goal,task_id
open door to hallway,False,5,0,Your task is to melt ice,task-1-melt
go to hallway,False,5,1,Your task is to melt ice,task-1-melt
open door to kitchen,True,5,2,Your task is to melt ice,task-1-melt
go to kitchen,True,5,3,Your task is to melt ice,task-1-melt
pick up thermometer,True,5,4,Your task is to melt ice,task-1-melt
open cupboard,True,5,5,Your task is to melt ice,task-1-melt
pick up metal pot,True,5,6,Your task is to melt ice,task-1-melt
open drawer in cupboard,False,5,7,Your task is to melt ice,task-1-melt
open freezer,True,5,8,Your task is to melt ice,task-1-melt
focus on ice,True,5,9,Your task is to melt ice,task-1-melt
move ice to metal pot,True,5,10,Your task is to melt ice,task-1-melt
pick up metal pot,True,5,11,Your task is to melt ice,task-1-melt
move metal pot to stove,True,5,12,Your task is to melt ice,task-1-melt
activate stove,True,5,13,Your task is to melt ice,task-1-melt
pick up metal pot,True,5,14,Your task is to melt ice,task-1-melt
open door to outside,False,5,15,Your task is to melt ice,task-1-melt
go to outside,False,5,16,Your task is to melt ice,task-1-melt
open door to foundry,False,5,17,Your task is to melt ice,task-1-melt
go to foundry,False,5,18,Your task is to melt ice,task-1-melt
open blast furnace,False,5,19,Your task is to melt ice,task-1-melt
move metal pot to blast furnace,False,5,20,Your task is to melt ice,task-1-melt
activate blast furnace,False,5,21,Your task is to melt ice,task-1-melt
