action,landmark,variation,order,goal,task_id
open door to hallway,False,12,0,Your task is to melt marshmallow,task-1-melt
go to hallway,False,12,1,Your task is to melt marshmallow,task-1-melt
open door to kitchen,True,12,2,Your task is to melt marshmallow,task-1-melt
go to kitchen,True,12,3,Your task is to melt marshmallow,task-1-melt
pick up thermometer,True,12,4,Your task is to melt marshmallow,task-1-melt
open cupboard,True,12,5,Your task is to melt marshmallow,task-1-melt
pick up metal pot,True,12,6,Your task is to melt marshmallow,task-1-melt
focus on marshmallow,True,12,7,Your task is to melt marshmallow,task-1-melt
move marshmallow to metal pot,True,12,8,Your task is to melt marshmallow,task-1-melt
pick up metal pot,True,12,9,Your task is to melt marshmallow,task-1-melt
move metal pot to stove,True,12,10,Your task is to melt marshmallow,task-1-melt
activate stove,True,12,11,Your task is to melt marshmallow,task-1-melt
examine marshmallow,True,12,12,Your task is to melt marshmallow,task-1-melt
use thermometer in inventory on marshmallow,False,12,13,Your task is to melt marshmallow,task-1-melt
examine marshmallow,True,12,14,Your task is to melt marshmallow,task-1-melt
use thermometer in inventory on marshmallow,False,12,15,Your task is to melt marshmallow,task-1-melt
examine marshmallow,True,12,16,Your task is to melt marshmallow,task-1-melt
use thermometer in inventory on marshmallow,False,12,17,Your task is to melt marshmallow,task-1-melt
examine marshmallow,True,12,18,Your task is to melt marshmallow,task-1-melt
