action,landmark,variation,order,goal,task_id
open door to outside,True,19,0,Your task is to melt rubber,task-1-melt
go to outside,True,19,1,Your task is to melt rubber,task-1-melt
open door to kitchen,True,19,2,Your task is to melt rubber,task-1-melt
go to kitchen,True,19,3,Your task is to melt rubber,task-1-melt
pick up thermometer,True,19,4,Your task is to melt rubber,task-1-melt
open cupboard,True,19,5,Your task is to melt rubber,task-1-melt
pick up metal pot,True,19,6,Your task is to melt rubber,task-1-melt
open glass jar,True,19,7,Your task is to melt rubber,task-1-melt
open oven,True,19,8,Your task is to melt rubber,task-1-melt
open drawer in cupboard,True,19,9,Your task is to melt rubber,task-1-melt
open freezer,True,19,10,Your task is to melt rubber,task-1-melt
open fridge,True,19,11,Your task is to melt rubber,task-1-melt
open drawer in counter,True,19,12,Your task is to melt rubber,task-1-melt
open door to bathroom,True,19,13,Your task is to melt rubber,task-1-melt
go to bathroom,True,19,14,Your task is to melt rubber,task-1-melt
open door to kitchen,True,19,15,Your task is to melt rubber,task-1-melt
go to kitchen,True,19,16,Your task is to melt rubber,task-1-melt
open door to outside,True,19,17,Your task is to melt rubber,task-1-melt
go to outside,True,19,18,Your task is to melt rubber,task-1-melt
open door to foundry,True,19,19,Your task is to melt rubber,task-1-melt
go to foundry,True,19,20,Your task is to melt rubber,task-1-melt
open door to outside,True,19,21,Your task is to melt rubber,task-1-melt
go to outside,True,19,22,Your task is to melt rubber,task-1-melt
open door to green house,True,19,23,Your task is to melt rubber,task-1-melt
go to green house,True,19,24,Your task is to melt rubber,task-1-melt
open door to hallway,True,19,25,Your task is to melt rubber,task-1-melt
go to hallway,True,19,26,Your task is to melt rubber,task-1-melt
open door to workshop,True,19,27,Your task is to melt rubber,task-1-melt
go to workshop,True,19,28,Your task is to melt rubber,task-1-melt
pick up rubber,True,19,29,Your task is to melt rubber,task-1-melt
open door to hallway,True,19,30,Your task is to melt rubber,task-1-melt
go to hallway,True,19,31,Your task is to melt rubber,task-1-melt
open door to kitchen,True,19,32,Your task is to melt rubber,task-1-melt
go to kitchen,True,19,33,Your task is to melt rubber,task-1-melt
focus on rubber,True,19,34,Your task is to melt rubber,task-1-melt
move rubber to metal pot,True,19,35,Your task is to melt rubber,task-1-melt
pick up metal pot,True,19,36,Your task is to melt rubber,task-1-melt
move metal pot to stove,True,19,37,Your task is to melt rubber,task-1-melt
activate stove,True,19,38,Your task is to melt rubber,task-1-melt
pick up metal pot,True,19,39,Your task is to melt rubber,task-1-melt
open door to outside,True,19,40,Your task is to melt rubber,task-1-melt
go to outside,True,19,41,Your task is to melt rubber,task-1-melt
open door to foundry,True,19,42,Your task is to melt rubber,task-1-melt
go to foundry,True,19,43,Your task is to melt rubber,task-1-melt
open blast furnace,False,19,44,Your task is to melt rubber,task-1-melt
move metal pot to blast furnace,False,19,45,Your task is to melt rubber,task-1-melt
activate blast furnace,False,19,46,Your task is to melt rubber,task-1-melt
examine rubber,True,19,47,Your task is to melt rubber,task-1-melt
use thermometer in inventory on rubber,True,19,48,Your task is to melt rubber,task-1-melt
examine rubber,True,19,49,Your task is to melt rubber,task-1-melt
use thermometer in inventory on rubber,True,19,50,Your task is to melt rubber,task-1-melt
examine rubber,True,19,51,Your task is to melt rubber,task-1-melt
