action,landmark,variation,order,goal,task_id
open door to kitchen,True,17,0,Your task is to melt soap,task-1-melt
go to kitchen,True,17,1,Your task is to melt soap,task-1-melt
pick up thermometer,True,17,2,Your task is to melt soap,task-1-melt
open cupboard,True,17,3,Your task is to melt soap,task-1-melt
pick up metal pot,True,17,4,Your task is to melt soap,task-1-melt
focus on soap in cupboard,False,17,5,Your task is to melt soap,task-1-melt
move soap in cupboard to metal pot,False,17,6,Your task is to melt soap,task-1-melt
pick up metal pot,True,17,7,Your task is to melt soap,task-1-melt
move metal pot to stove,True,17,8,Your task is to melt soap,task-1-melt
activate stove,True,17,9,Your task is to melt soap,task-1-melt
pick up metal pot,True,17,10,Your task is to melt soap,task-1-melt
open door to outside,False,17,11,Your task is to melt soap,task-1-melt
go to outside,False,17,12,Your task is to melt soap,task-1-melt
open door to foundry,False,17,13,Your task is to melt soap,task-1-melt
go to foundry,False,17,14,Your task is to melt soap,task-1-melt
open blast furnace,False,17,15,Your task is to melt soap,task-1-melt
move metal pot to blast furnace,False,17,16,Your task is to melt soap,task-1-melt
activate blast furnace,False,17,17,Your task is to melt soap,task-1-melt
examine soap,False,17,18,Your task is to melt soap,task-1-melt
use thermometer in inventory on soap,False,17,19,Your task is to melt soap,task-1-melt
examine soap,False,17,20,Your task is to melt soap,task-1-melt
use thermometer in inventory on soap,False,17,21,Your task is to melt soap,task-1-melt
