action,landmark,variation,order,goal,task_id
open door to kitchen,True,3,0,Your task is to melt water,task-1-melt
go to kitchen,True,3,1,Your task is to melt water,task-1-melt
pick up thermometer,True,3,2,Your task is to melt water,task-1-melt
open cupboard,True,3,3,Your task is to melt water,task-1-melt
pick up metal pot,True,3,4,Your task is to melt water,task-1-melt
move metal pot to sink,True,3,5,Your task is to melt water,task-1-melt
activate sink,True,3,6,Your task is to melt water,task-1-melt
deactivate sink,True,3,7,Your task is to melt water,task-1-melt
pick up metal pot,True,3,8,Your task is to melt water,task-1-melt
move metal pot to sink,True,3,9,Your task is to melt water,task-1-melt
activate sink,True,3,10,Your task is to melt water,task-1-melt
deactivate sink,True,3,11,Your task is to melt water,task-1-melt
pick up metal pot,True,3,12,Your task is to melt water,task-1-melt
open door to bathroom,False,3,13,Your task is to melt water,task-1-melt
go to bathroom,False,3,14,Your task is to melt water,task-1-melt
move metal pot to sink,True,3,15,Your task is to melt water,task-1-melt
activate sink,True,3,16,Your task is to melt water,task-1-melt
deactivate sink,True,3,17,Your task is to melt water,task-1-melt
pick up metal pot,True,3,18,Your task is to melt water,task-1-melt
focus on substance in metal pot,True,3,19,Your task is to melt water,task-1-melt
pour metal pot into metal pot,True,3,20,Your task is to melt water,task-1-melt
open door to kitchen,True,3,21,Your task is to melt water,task-1-melt
go to kitchen,True,3,22,Your task is to melt water,task-1-melt
pick up metal pot,True,3,23,Your task is to melt water,task-1-melt
open freezer,True,3,24,Your task is to melt water,task-1-melt
move metal pot to freezer,True,3,25,Your task is to melt water,task-1-melt
examine substance in metal pot,True,3,26,Your task is to melt water,task-1-melt
use thermometer in inventory on substance in metal pot,True,3,27,Your task is to melt water,task-1-melt
wait,True,3,28,Your task is to melt water,task-1-melt
examine substance in metal pot,True,3,29,Your task is to melt water,task-1-melt
use thermometer in inventory on substance in metal pot,True,3,30,Your task is to melt water,task-1-melt
wait,True,3,31,Your task is to melt water,task-1-melt
examine ice,True,3,32,Your task is to melt water,task-1-melt
use thermometer in inventory on ice,True,3,33,Your task is to melt water,task-1-melt
wait,True,3,34,Your task is to melt water,task-1-melt
pick up metal pot,True,3,35,Your task is to melt water,task-1-melt
pick up metal pot,True,3,36,Your task is to melt water,task-1-melt
move metal pot to stove,True,3,37,Your task is to melt water,task-1-melt
activate stove,True,3,38,Your task is to melt water,task-1-melt
pick up metal pot,True,3,39,Your task is to melt water,task-1-melt
open door to outside,False,3,40,Your task is to melt water,task-1-melt
go to outside,False,3,41,Your task is to melt water,task-1-melt
open door to foundry,False,3,42,Your task is to melt water,task-1-melt
go to foundry,False,3,43,Your task is to melt water,task-1-melt
open blast furnace,False,3,44,Your task is to melt water,task-1-melt
move metal pot to blast furnace,False,3,45,Your task is to melt water,task-1-melt
activate blast furnace,False,3,46,Your task is to melt water,task-1-melt
