action,landmark,variation,order,goal,task_id
open door to hallway,True,10,0,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,10,1,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to workshop,True,10,2,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to workshop,True,10,3,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
focus on blue light bulb,True,10,4,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up blue light bulb,True,10,5,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up wind generator,False,10,6,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up orange wire,True,10,7,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up black wire,True,10,8,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to hallway,True,10,9,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,10,10,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to kitchen,True,10,11,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to kitchen,True,10,12,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to outside,True,10,13,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to outside,True,10,14,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop blue light bulb,True,10,15,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop generator,True,10,16,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop orange wire,True,10,17,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop black wire,True,10,18,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect wind generator anode to orange wire terminal 1,False,10,19,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect wind generator cathode to black wire terminal 1,False,10,20,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect orange wire terminal 2 to blue light bulb cathode,True,10,21,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect black wire terminal 2 to anode in blue light bulb,True,10,22,Your task is to turn on the blue light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
