action,landmark,variation,order,goal,task_id
open door to workshop,True,18,0,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to workshop,True,18,1,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
focus on buzzer,True,18,2,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up buzzer,True,18,3,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up wind generator,False,18,4,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up green wire,True,18,5,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up yellow wire,False,18,6,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to hallway,True,18,7,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,18,8,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to green house,True,18,9,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to green house,True,18,10,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to outside,True,18,11,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to outside,True,18,12,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop buzzer,True,18,13,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop generator,True,18,14,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop green wire,True,18,15,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop component in inventory,False,18,16,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect wind generator anode to green wire terminal 1,False,18,17,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect wind generator cathode to yellow wire terminal 1,False,18,18,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect green wire terminal 2 to cathode in buzzer,True,18,19,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect yellow wire terminal 2 to anode in buzzer,False,18,20,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
