action,landmark,variation,order,goal,task_id
open door to hallway,True,11,0,Your task is to turn on the blue light bulb,task-2-power-component
go to hallway,True,11,1,Your task is to turn on the blue light bulb,task-2-power-component
open door to workshop,True,11,2,Your task is to turn on the blue light bulb,task-2-power-component
go to workshop,True,11,3,Your task is to turn on the blue light bulb,task-2-power-component
focus on blue light bulb,True,11,4,Your task is to turn on the blue light bulb,task-2-power-component
connect battery anode to orange wire terminal 1,False,11,5,Your task is to turn on the blue light bulb,task-2-power-component
connect battery cathode to red wire terminal 1,False,11,6,Your task is to turn on the blue light bulb,task-2-power-component
connect orange wire terminal 2 to blue light bulb cathode,False,11,7,Your task is to turn on the blue light bulb,task-2-power-component
connect red wire terminal 2 to anode in blue light bulb,False,11,8,Your task is to turn on the blue light bulb,task-2-power-component
wait1,False,11,9,Your task is to turn on the blue light bulb,task-2-power-component
