action,landmark,variation,order,goal,task_id
open door to green house,False,17,0,Your task is to turn on the electric buzzer,task-2-power-component
go to green house,False,17,1,Your task is to turn on the electric buzzer,task-2-power-component
open door to hallway,False,17,2,Your task is to turn on the electric buzzer,task-2-power-component
go to hallway,False,17,3,Your task is to turn on the electric buzzer,task-2-power-component
open door to workshop,True,17,4,Your task is to turn on the electric buzzer,task-2-power-component
go to workshop,True,17,5,Your task is to turn on the electric buzzer,task-2-power-component
focus on buzzer,True,17,6,Your task is to turn on the electric buzzer,task-2-power-component
connect battery anode to blue wire terminal 1,False,17,7,Your task is to turn on the electric buzzer,task-2-power-component
connect battery cathode to yellow wire terminal 1,False,17,8,Your task is to turn on the electric buzzer,task-2-power-component
connect blue wire terminal 2 to cathode in buzzer,False,17,9,Your task is to turn on the electric buzzer,task-2-power-component
connect yellow wire terminal 2 to anode in buzzer,False,17,10,Your task is to turn on the electric buzzer,task-2-power-component
