action,landmark,variation,order,goal,task_id
open door to hallway,False,14,0,Your task is to turn on the electric motor,task-2-power-component
go to hallway,False,14,1,Your task is to turn on the electric motor,task-2-power-component
open door to workshop,False,14,2,Your task is to turn on the electric motor,task-2-power-component
go to workshop,False,14,3,Your task is to turn on the electric motor,task-2-power-component
focus on electric motor,True,14,4,Your task is to turn on the electric motor,task-2-power-component
connect battery anode to orange wire terminal 1,False,14,5,Your task is to turn on the electric motor,task-2-power-component
connect battery cathode to black wire terminal 1,False,14,6,Your task is to turn on the electric motor,task-2-power-component
connect orange wire terminal 2 to cathode in electric motor,False,14,7,Your task is to turn on the electric motor,task-2-power-component
connect black wire terminal 2 to anode in electric motor,False,14,8,Your task is to turn on the electric motor,task-2-power-component
wait1,False,14,9,Your task is to turn on the electric motor,task-2-power-component
