action,landmark,variation,order,goal,task_id
focus on baby beaver in outside,False,3,0,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,1,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,2,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,3,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,4,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,5,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,6,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,7,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,8,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,9,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,10,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
focus on juvenile beaver in outside,False,3,11,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,12,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,13,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,14,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,15,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,16,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,17,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,18,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,19,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,3,20,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
focus on adult beaver in outside,False,3,21,"Your task is to focus on the 3 life stages of the beaver, starting from earliest to latest",task-7-identify-life-stages-1
