action,landmark,variation,order,goal,task_id
open door to outside,False,11,0,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
go to outside,False,11,1,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
focus on egg parrot in outside,False,11,2,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,3,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,4,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,5,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,6,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,7,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,8,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,9,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,10,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,11,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
focus on hatchling parrot in outside,False,11,12,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,13,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,14,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,15,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,16,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,17,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,18,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,19,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,20,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,21,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
focus on juvenile parrot in outside,False,11,22,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,23,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,24,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,25,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,26,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,27,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,28,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,29,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,30,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,31,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,11,32,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
focus on adult parrot in outside,False,11,33,"Your task is to focus on the 4 life stages of the parrot, starting from earliest to latest",task-7-identify-life-stages-1
