action,landmark,variation,order,goal,task_id
open door to hallway,False,1,0,"Your task is to focus on the life stages of the apricot plant, starting from earliest to latest",task-7-identify-life-stages-2
go to hallway,False,1,1,"Your task is to focus on the life stages of the apricot plant, starting from earliest to latest",task-7-identify-life-stages-2
open door to green house,False,1,2,"Your task is to focus on the life stages of the apricot plant, starting from earliest to latest",task-7-identify-life-stages-2
go to green house,False,1,3,"Your task is to focus on the life stages of the apricot plant, starting from earliest to latest",task-7-identify-life-stages-2
open door to outside,False,1,4,"Your task is to focus on the life stages of the apricot plant, starting from earliest to latest",task-7-identify-life-stages-2
go to outside,False,1,5,"Your task is to focus on the life stages of the apricot plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on apricot seed in the seed stage in self watering flower pot 7,False,1,6,"Your task is to focus on the life stages of the apricot plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on apricot tree in the seedling stage in self watering flower pot 9,False,1,7,"Your task is to focus on the life stages of the apricot plant, starting from earliest to latest",task-7-identify-life-stages-2
wait1,False,1,8,"Your task is to focus on the life stages of the apricot plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on apricot tree in the adult stage in self watering flower pot 9,False,1,9,"Your task is to focus on the life stages of the apricot plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on apricot tree in the reproducing stage in self watering flower pot 2,False,1,10,"Your task is to focus on the life stages of the apricot plant, starting from earliest to latest",task-7-identify-life-stages-2
