action,landmark,variation,order,goal,task_id
open door to kitchen,False,8,0,"Your task is to focus on the life stages of the peach plant, starting from earliest to latest",task-7-identify-life-stages-2
go to kitchen,False,8,1,"Your task is to focus on the life stages of the peach plant, starting from earliest to latest",task-7-identify-life-stages-2
open door to outside,False,8,2,"Your task is to focus on the life stages of the peach plant, starting from earliest to latest",task-7-identify-life-stages-2
go to outside,False,8,3,"Your task is to focus on the life stages of the peach plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on peach seed in the seed stage in self watering flower pot 3,False,8,4,"Your task is to focus on the life stages of the peach plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on peach tree in the seedling stage in self watering flower pot 7,False,8,5,"Your task is to focus on the life stages of the peach plant, starting from earliest to latest",task-7-identify-life-stages-2
wait1,False,8,6,"Your task is to focus on the life stages of the peach plant, starting from earliest to latest",task-7-identify-life-stages-2
wait1,False,8,7,"Your task is to focus on the life stages of the peach plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on peach tree in the adult stage in self watering flower pot 7,False,8,8,"Your task is to focus on the life stages of the peach plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on peach tree in the reproducing stage in self watering flower pot 8,False,8,9,"Your task is to focus on the life stages of the peach plant, starting from earliest to latest",task-7-identify-life-stages-2
