action,landmark,variation,order,goal,task_id
open door to kitchen,True,13,0,Your task is to melt marshmallow,task-1-melt
go to kitchen,True,13,1,Your task is to melt marshmallow,task-1-melt
pick up thermometer,True,13,2,Your task is to melt marshmallow,task-1-melt
open cupboard,True,13,3,Your task is to melt marshmallow,task-1-melt
pick up metal pot,True,13,4,Your task is to melt marshmallow,task-1-melt
focus on marshmallow,True,13,5,Your task is to melt marshmallow,task-1-melt
move marshmallow to metal pot,True,13,6,Your task is to melt marshmallow,task-1-melt
pick up metal pot,True,13,7,Your task is to melt marshmallow,task-1-melt
move metal pot to stove,True,13,8,Your task is to melt marshmallow,task-1-melt
activate stove,True,13,9,Your task is to melt marshmallow,task-1-melt
pick up metal pot,True,13,10,Your task is to melt marshmallow,task-1-melt
open door to outside,False,13,11,Your task is to melt marshmallow,task-1-melt
go to outside,False,13,12,Your task is to melt marshmallow,task-1-melt
open door to foundry,False,13,13,Your task is to melt marshmallow,task-1-melt
go to foundry,False,13,14,Your task is to melt marshmallow,task-1-melt
open blast furnace,False,13,15,Your task is to melt marshmallow,task-1-melt
move metal pot to blast furnace,False,13,16,Your task is to melt marshmallow,task-1-melt
activate blast furnace,False,13,17,Your task is to melt marshmallow,task-1-melt
examine marshmallow,True,13,18,Your task is to melt marshmallow,task-1-melt
