action,landmark,variation,order,goal,task_id
open door to kitchen,True,7,0,Your task is to melt orange juice,task-1-melt
go to kitchen,True,7,1,Your task is to melt orange juice,task-1-melt
pick up thermometer,True,7,2,Your task is to melt orange juice,task-1-melt
open cupboard,True,7,3,Your task is to melt orange juice,task-1-melt
pick up metal pot,True,7,4,Your task is to melt orange juice,task-1-melt
open fridge,True,7,5,Your task is to melt orange juice,task-1-melt
focus on orange juice,True,7,6,Your task is to melt orange juice,task-1-melt
pour cup containing orange juice into metal pot,True,7,7,Your task is to melt orange juice,task-1-melt
pick up metal pot,True,7,8,Your task is to melt orange juice,task-1-melt
open freezer,True,7,9,Your task is to melt orange juice,task-1-melt
move metal pot to freezer,True,7,10,Your task is to melt orange juice,task-1-melt
examine orange juice,True,7,11,Your task is to melt orange juice,task-1-melt
use thermometer in inventory on orange juice,True,7,12,Your task is to melt orange juice,task-1-melt
wait,True,7,13,Your task is to melt orange juice,task-1-melt
examine orange juice,True,7,14,Your task is to melt orange juice,task-1-melt
use thermometer in inventory on orange juice,True,7,15,Your task is to melt orange juice,task-1-melt
wait,True,7,16,Your task is to melt orange juice,task-1-melt
examine orange juice,True,7,17,Your task is to melt orange juice,task-1-melt
use thermometer in inventory on orange juice,True,7,18,Your task is to melt orange juice,task-1-melt
wait,True,7,19,Your task is to melt orange juice,task-1-melt
pick up metal pot,True,7,20,Your task is to melt orange juice,task-1-melt
pick up metal pot,True,7,21,Your task is to melt orange juice,task-1-melt
move metal pot to stove,True,7,22,Your task is to melt orange juice,task-1-melt
activate stove,True,7,23,Your task is to melt orange juice,task-1-melt
pick up metal pot,True,7,24,Your task is to melt orange juice,task-1-melt
open door to outside,False,7,25,Your task is to melt orange juice,task-1-melt
go to outside,False,7,26,Your task is to melt orange juice,task-1-melt
open door to foundry,False,7,27,Your task is to melt orange juice,task-1-melt
go to foundry,False,7,28,Your task is to melt orange juice,task-1-melt
open blast furnace,False,7,29,Your task is to melt orange juice,task-1-melt
move metal pot to blast furnace,False,7,30,Your task is to melt orange juice,task-1-melt
activate blast furnace,False,7,31,Your task is to melt orange juice,task-1-melt
