action,landmark,variation,order,goal,task_id
open door to hallway,True,9,0,Your task is to turn on the blue light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,9,1,Your task is to turn on the blue light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to workshop,True,9,2,Your task is to turn on the blue light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to workshop,True,9,3,Your task is to turn on the blue light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
focus on blue light bulb,True,9,4,Your task is to turn on the blue light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect nuclear generator anode to yellow wire terminal 1,False,9,5,Your task is to turn on the blue light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect nuclear generator cathode to red wire terminal 1,True,9,6,Your task is to turn on the blue light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect yellow wire terminal 2 to blue light bulb cathode,False,9,7,Your task is to turn on the blue light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect red wire terminal 2 to anode in blue light bulb,True,9,8,Your task is to turn on the blue light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
activate nuclear generator,True,9,9,Your task is to turn on the blue light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
wait1,True,9,10,Your task is to turn on the blue light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
