action,landmark,variation,order,goal,task_id
open door to kitchen,False,16,0,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to kitchen,False,16,1,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to hallway,True,16,2,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,16,3,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to workshop,True,16,4,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to workshop,True,16,5,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
focus on buzzer,True,16,6,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up buzzer,True,16,7,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up solar panel,False,16,8,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up green wire,True,16,9,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up black wire,False,16,10,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to hallway,True,16,11,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,16,12,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to green house,True,16,13,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to green house,True,16,14,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to outside,True,16,15,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to outside,True,16,16,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop buzzer,True,16,17,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop generator,True,16,18,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop green wire,True,16,19,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop black wire,False,16,20,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect solar panel anode to green wire terminal 1,False,16,21,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect solar panel cathode to black wire terminal 1,False,16,22,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect green wire terminal 2 to cathode in buzzer,True,16,23,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect black wire terminal 2 to anode in buzzer,False,16,24,Your task is to turn on the electric buzzer by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
