action,landmark,variation,order,goal,task_id
open door to green house,False,16,0,Your task is to turn on the electric buzzer,task-2-power-component
go to green house,False,16,1,Your task is to turn on the electric buzzer,task-2-power-component
open door to hallway,False,16,2,Your task is to turn on the electric buzzer,task-2-power-component
go to hallway,False,16,3,Your task is to turn on the electric buzzer,task-2-power-component
open door to workshop,True,16,4,Your task is to turn on the electric buzzer,task-2-power-component
go to workshop,True,16,5,Your task is to turn on the electric buzzer,task-2-power-component
focus on buzzer,True,16,6,Your task is to turn on the electric buzzer,task-2-power-component
connect battery anode to green wire terminal 1,False,16,7,Your task is to turn on the electric buzzer,task-2-power-component
connect battery cathode to black wire terminal 1,False,16,8,Your task is to turn on the electric buzzer,task-2-power-component
connect green wire terminal 2 to cathode in buzzer,False,16,9,Your task is to turn on the electric buzzer,task-2-power-component
connect black wire terminal 2 to anode in buzzer,False,16,10,Your task is to turn on the electric buzzer,task-2-power-component
