action,landmark,variation,order,goal,task_id
open door to hallway,False,2,0,Your task is to turn on the red light bulb,task-2-power-component
go to hallway,False,2,1,Your task is to turn on the red light bulb,task-2-power-component
open door to workshop,True,2,2,Your task is to turn on the red light bulb,task-2-power-component
go to workshop,True,2,3,Your task is to turn on the red light bulb,task-2-power-component
focus on red light bulb,True,2,4,Your task is to turn on the red light bulb,task-2-power-component
connect battery anode to green wire terminal 1,False,2,5,Your task is to turn on the red light bulb,task-2-power-component
connect battery cathode to black wire terminal 1,False,2,6,Your task is to turn on the red light bulb,task-2-power-component
connect green wire terminal 2 to cathode in red light bulb,False,2,7,Your task is to turn on the red light bulb,task-2-power-component
connect black wire terminal 2 to anode in red light bulb,False,2,8,Your task is to turn on the red light bulb,task-2-power-component
wait1,False,2,9,Your task is to turn on the red light bulb,task-2-power-component
