action,landmark,variation,order,goal,task_id
pick up seed jar,True,2,0,Your task is to grow a apple,task-4-grow-fruit
open door to hallway,False,2,1,Your task is to grow a apple,task-4-grow-fruit
go to hallway,False,2,2,Your task is to grow a apple,task-4-grow-fruit
open door to green house,True,2,3,Your task is to grow a apple,task-4-grow-fruit
go to green house,True,2,4,Your task is to grow a apple,task-4-grow-fruit
open door to outside,False,2,5,Your task is to grow a apple,task-4-grow-fruit
go to outside,False,2,6,Your task is to grow a apple,task-4-grow-fruit
pick up shovel,False,2,7,Your task is to grow a apple,task-4-grow-fruit
use shovel in inventory on ground,False,2,8,Your task is to grow a apple,task-4-grow-fruit
pick up soil,False,2,9,Your task is to grow a apple,task-4-grow-fruit
open door to green house,True,2,10,Your task is to grow a apple,task-4-grow-fruit
go to green house,True,2,11,Your task is to grow a apple,task-4-grow-fruit
move soil in inventory to flower pot 3,False,2,12,Your task is to grow a apple,task-4-grow-fruit
open door to outside,False,2,13,Your task is to grow a apple,task-4-grow-fruit
go to outside,False,2,14,Your task is to grow a apple,task-4-grow-fruit
use shovel in inventory on ground,False,2,15,Your task is to grow a apple,task-4-grow-fruit
pick up soil,False,2,16,Your task is to grow a apple,task-4-grow-fruit
open door to green house,True,2,17,Your task is to grow a apple,task-4-grow-fruit
go to green house,True,2,18,Your task is to grow a apple,task-4-grow-fruit
move soil in inventory to flower pot 1,False,2,19,Your task is to grow a apple,task-4-grow-fruit
open door to outside,False,2,20,Your task is to grow a apple,task-4-grow-fruit
go to outside,False,2,21,Your task is to grow a apple,task-4-grow-fruit
use shovel in inventory on ground,False,2,22,Your task is to grow a apple,task-4-grow-fruit
pick up soil,False,2,23,Your task is to grow a apple,task-4-grow-fruit
open door to green house,True,2,24,Your task is to grow a apple,task-4-grow-fruit
go to green house,True,2,25,Your task is to grow a apple,task-4-grow-fruit
move soil in inventory to flower pot 2,False,2,26,Your task is to grow a apple,task-4-grow-fruit
move apple seed in seed jar to flower pot 3,True,2,27,Your task is to grow a apple,task-4-grow-fruit
0,True,2,28,Your task is to grow a apple,task-4-grow-fruit
move apple seed in seed jar to flower pot 1,True,2,29,Your task is to grow a apple,task-4-grow-fruit
0,True,2,30,Your task is to grow a apple,task-4-grow-fruit
move apple seed in seed jar to flower pot 2,True,2,31,Your task is to grow a apple,task-4-grow-fruit
0,True,2,32,Your task is to grow a apple,task-4-grow-fruit
activate sink,True,2,33,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,2,34,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 3,True,2,35,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,2,36,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 1,True,2,37,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,2,38,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 2,True,2,39,Your task is to grow a apple,task-4-grow-fruit
deactivate sink,True,2,40,Your task is to grow a apple,task-4-grow-fruit
wait1,True,2,41,Your task is to grow a apple,task-4-grow-fruit
wait1,True,2,42,Your task is to grow a apple,task-4-grow-fruit
wait1,True,2,43,Your task is to grow a apple,task-4-grow-fruit
wait1,True,2,44,Your task is to grow a apple,task-4-grow-fruit
wait1,True,2,45,Your task is to grow a apple,task-4-grow-fruit
activate sink,True,2,46,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,2,47,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 3,True,2,48,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,2,49,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 1,True,2,50,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,2,51,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 2,True,2,52,Your task is to grow a apple,task-4-grow-fruit
deactivate sink,True,2,53,Your task is to grow a apple,task-4-grow-fruit
close door to outside,True,2,54,Your task is to grow a apple,task-4-grow-fruit
close door to hallway,True,2,55,Your task is to grow a apple,task-4-grow-fruit
open bee hive,True,2,56,Your task is to grow a apple,task-4-grow-fruit
wait1,True,2,57,Your task is to grow a apple,task-4-grow-fruit
wait1,True,2,58,Your task is to grow a apple,task-4-grow-fruit
wait1,True,2,59,Your task is to grow a apple,task-4-grow-fruit
wait1,True,2,60,Your task is to grow a apple,task-4-grow-fruit
wait1,True,2,61,Your task is to grow a apple,task-4-grow-fruit
activate sink,True,2,62,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,2,63,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 3,True,2,64,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,2,65,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 1,True,2,66,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,2,67,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 2,True,2,68,Your task is to grow a apple,task-4-grow-fruit
deactivate sink,True,2,69,Your task is to grow a apple,task-4-grow-fruit
focus on apple,False,2,70,Your task is to grow a apple,task-4-grow-fruit
