action,landmark,variation,order,goal,task_id
open door to hallway,False,38,0,Your task is to grow a banana,task-4-grow-fruit
go to hallway,False,38,1,Your task is to grow a banana,task-4-grow-fruit
open door to kitchen,False,38,2,Your task is to grow a banana,task-4-grow-fruit
go to kitchen,False,38,3,Your task is to grow a banana,task-4-grow-fruit
pick up seed jar,True,38,4,Your task is to grow a banana,task-4-grow-fruit
open door to outside,False,38,5,Your task is to grow a banana,task-4-grow-fruit
go to outside,False,38,6,Your task is to grow a banana,task-4-grow-fruit
open door to green house,True,38,7,Your task is to grow a banana,task-4-grow-fruit
go to green house,True,38,8,Your task is to grow a banana,task-4-grow-fruit
open door to outside,False,38,9,Your task is to grow a banana,task-4-grow-fruit
go to outside,False,38,10,Your task is to grow a banana,task-4-grow-fruit
pick up shovel,False,38,11,Your task is to grow a banana,task-4-grow-fruit
use shovel in inventory on ground,False,38,12,Your task is to grow a banana,task-4-grow-fruit
pick up soil,False,38,13,Your task is to grow a banana,task-4-grow-fruit
open door to green house,True,38,14,Your task is to grow a banana,task-4-grow-fruit
go to green house,True,38,15,Your task is to grow a banana,task-4-grow-fruit
move soil in inventory to flower pot 3,False,38,16,Your task is to grow a banana,task-4-grow-fruit
open door to outside,False,38,17,Your task is to grow a banana,task-4-grow-fruit
go to outside,False,38,18,Your task is to grow a banana,task-4-grow-fruit
use shovel in inventory on ground,False,38,19,Your task is to grow a banana,task-4-grow-fruit
pick up soil,False,38,20,Your task is to grow a banana,task-4-grow-fruit
open door to green house,True,38,21,Your task is to grow a banana,task-4-grow-fruit
go to green house,True,38,22,Your task is to grow a banana,task-4-grow-fruit
move soil in inventory to flower pot 2,False,38,23,Your task is to grow a banana,task-4-grow-fruit
open door to outside,False,38,24,Your task is to grow a banana,task-4-grow-fruit
go to outside,False,38,25,Your task is to grow a banana,task-4-grow-fruit
use shovel in inventory on ground,False,38,26,Your task is to grow a banana,task-4-grow-fruit
pick up soil,False,38,27,Your task is to grow a banana,task-4-grow-fruit
open door to green house,True,38,28,Your task is to grow a banana,task-4-grow-fruit
go to green house,True,38,29,Your task is to grow a banana,task-4-grow-fruit
move soil in inventory to flower pot 1,False,38,30,Your task is to grow a banana,task-4-grow-fruit
move banana seed in seed jar to flower pot 3,True,38,31,Your task is to grow a banana,task-4-grow-fruit
0,True,38,32,Your task is to grow a banana,task-4-grow-fruit
move banana seed in seed jar to flower pot 2,True,38,33,Your task is to grow a banana,task-4-grow-fruit
0,True,38,34,Your task is to grow a banana,task-4-grow-fruit
move banana seed in seed jar to flower pot 1,True,38,35,Your task is to grow a banana,task-4-grow-fruit
0,True,38,36,Your task is to grow a banana,task-4-grow-fruit
activate sink,True,38,37,Your task is to grow a banana,task-4-grow-fruit
move jug to sink,True,38,38,Your task is to grow a banana,task-4-grow-fruit
pour jug into flower pot 3,True,38,39,Your task is to grow a banana,task-4-grow-fruit
move jug to sink,True,38,40,Your task is to grow a banana,task-4-grow-fruit
pour jug into flower pot 2,True,38,41,Your task is to grow a banana,task-4-grow-fruit
move jug to sink,True,38,42,Your task is to grow a banana,task-4-grow-fruit
pour jug into flower pot 1,True,38,43,Your task is to grow a banana,task-4-grow-fruit
deactivate sink,True,38,44,Your task is to grow a banana,task-4-grow-fruit
wait1,True,38,45,Your task is to grow a banana,task-4-grow-fruit
wait1,True,38,46,Your task is to grow a banana,task-4-grow-fruit
wait1,True,38,47,Your task is to grow a banana,task-4-grow-fruit
wait1,True,38,48,Your task is to grow a banana,task-4-grow-fruit
wait1,True,38,49,Your task is to grow a banana,task-4-grow-fruit
activate sink,True,38,50,Your task is to grow a banana,task-4-grow-fruit
move jug to sink,True,38,51,Your task is to grow a banana,task-4-grow-fruit
pour jug into flower pot 3,True,38,52,Your task is to grow a banana,task-4-grow-fruit
move jug to sink,True,38,53,Your task is to grow a banana,task-4-grow-fruit
pour jug into flower pot 2,True,38,54,Your task is to grow a banana,task-4-grow-fruit
move jug to sink,True,38,55,Your task is to grow a banana,task-4-grow-fruit
pour jug into flower pot 1,True,38,56,Your task is to grow a banana,task-4-grow-fruit
deactivate sink,True,38,57,Your task is to grow a banana,task-4-grow-fruit
close door to outside,True,38,58,Your task is to grow a banana,task-4-grow-fruit
close door to hallway,True,38,59,Your task is to grow a banana,task-4-grow-fruit
open bee hive,True,38,60,Your task is to grow a banana,task-4-grow-fruit
wait1,True,38,61,Your task is to grow a banana,task-4-grow-fruit
wait1,True,38,62,Your task is to grow a banana,task-4-grow-fruit
wait1,True,38,63,Your task is to grow a banana,task-4-grow-fruit
wait1,True,38,64,Your task is to grow a banana,task-4-grow-fruit
wait1,True,38,65,Your task is to grow a banana,task-4-grow-fruit
activate sink,True,38,66,Your task is to grow a banana,task-4-grow-fruit
move jug to sink,True,38,67,Your task is to grow a banana,task-4-grow-fruit
pour jug into flower pot 3,True,38,68,Your task is to grow a banana,task-4-grow-fruit
move jug to sink,True,38,69,Your task is to grow a banana,task-4-grow-fruit
pour jug into flower pot 2,True,38,70,Your task is to grow a banana,task-4-grow-fruit
move jug to sink,True,38,71,Your task is to grow a banana,task-4-grow-fruit
pour jug into flower pot 1,True,38,72,Your task is to grow a banana,task-4-grow-fruit
deactivate sink,True,38,73,Your task is to grow a banana,task-4-grow-fruit
focus on banana,False,38,74,Your task is to grow a banana,task-4-grow-fruit
0,True,38,75,Your task is to grow a banana,task-4-grow-fruit
