action,landmark,variation,order,goal,task_id
open door to kitchen,False,68,0,Your task is to grow a cherry,task-4-grow-fruit
go to kitchen,False,68,1,Your task is to grow a cherry,task-4-grow-fruit
open door to hallway,False,68,2,Your task is to grow a cherry,task-4-grow-fruit
go to hallway,False,68,3,Your task is to grow a cherry,task-4-grow-fruit
open door to workshop,False,68,4,Your task is to grow a cherry,task-4-grow-fruit
go to workshop,False,68,5,Your task is to grow a cherry,task-4-grow-fruit
pick up seed jar,True,68,6,Your task is to grow a cherry,task-4-grow-fruit
open door to hallway,False,68,7,Your task is to grow a cherry,task-4-grow-fruit
go to hallway,False,68,8,Your task is to grow a cherry,task-4-grow-fruit
open door to green house,True,68,9,Your task is to grow a cherry,task-4-grow-fruit
go to green house,True,68,10,Your task is to grow a cherry,task-4-grow-fruit
open door to outside,False,68,11,Your task is to grow a cherry,task-4-grow-fruit
go to outside,False,68,12,Your task is to grow a cherry,task-4-grow-fruit
pick up shovel,False,68,13,Your task is to grow a cherry,task-4-grow-fruit
use shovel in inventory on ground,False,68,14,Your task is to grow a cherry,task-4-grow-fruit
pick up soil,False,68,15,Your task is to grow a cherry,task-4-grow-fruit
open door to green house,True,68,16,Your task is to grow a cherry,task-4-grow-fruit
go to green house,True,68,17,Your task is to grow a cherry,task-4-grow-fruit
move soil in inventory to flower pot 1,False,68,18,Your task is to grow a cherry,task-4-grow-fruit
open door to outside,False,68,19,Your task is to grow a cherry,task-4-grow-fruit
go to outside,False,68,20,Your task is to grow a cherry,task-4-grow-fruit
use shovel in inventory on ground,False,68,21,Your task is to grow a cherry,task-4-grow-fruit
pick up soil,False,68,22,Your task is to grow a cherry,task-4-grow-fruit
open door to green house,True,68,23,Your task is to grow a cherry,task-4-grow-fruit
go to green house,True,68,24,Your task is to grow a cherry,task-4-grow-fruit
move soil in inventory to flower pot 3,False,68,25,Your task is to grow a cherry,task-4-grow-fruit
open door to outside,False,68,26,Your task is to grow a cherry,task-4-grow-fruit
go to outside,False,68,27,Your task is to grow a cherry,task-4-grow-fruit
use shovel in inventory on ground,False,68,28,Your task is to grow a cherry,task-4-grow-fruit
pick up soil,False,68,29,Your task is to grow a cherry,task-4-grow-fruit
open door to green house,True,68,30,Your task is to grow a cherry,task-4-grow-fruit
go to green house,True,68,31,Your task is to grow a cherry,task-4-grow-fruit
move soil in inventory to flower pot 2,False,68,32,Your task is to grow a cherry,task-4-grow-fruit
move cherry seed in seed jar to flower pot 1,True,68,33,Your task is to grow a cherry,task-4-grow-fruit
0,True,68,34,Your task is to grow a cherry,task-4-grow-fruit
move cherry seed in seed jar to flower pot 3,True,68,35,Your task is to grow a cherry,task-4-grow-fruit
0,True,68,36,Your task is to grow a cherry,task-4-grow-fruit
move cherry seed in seed jar to flower pot 2,True,68,37,Your task is to grow a cherry,task-4-grow-fruit
0,True,68,38,Your task is to grow a cherry,task-4-grow-fruit
activate sink,True,68,39,Your task is to grow a cherry,task-4-grow-fruit
move jug to sink,True,68,40,Your task is to grow a cherry,task-4-grow-fruit
pour jug into flower pot 1,True,68,41,Your task is to grow a cherry,task-4-grow-fruit
move jug to sink,True,68,42,Your task is to grow a cherry,task-4-grow-fruit
pour jug into flower pot 3,True,68,43,Your task is to grow a cherry,task-4-grow-fruit
move jug to sink,True,68,44,Your task is to grow a cherry,task-4-grow-fruit
pour jug into flower pot 2,True,68,45,Your task is to grow a cherry,task-4-grow-fruit
deactivate sink,True,68,46,Your task is to grow a cherry,task-4-grow-fruit
wait1,True,68,47,Your task is to grow a cherry,task-4-grow-fruit
wait1,True,68,48,Your task is to grow a cherry,task-4-grow-fruit
wait1,True,68,49,Your task is to grow a cherry,task-4-grow-fruit
wait1,True,68,50,Your task is to grow a cherry,task-4-grow-fruit
wait1,True,68,51,Your task is to grow a cherry,task-4-grow-fruit
activate sink,True,68,52,Your task is to grow a cherry,task-4-grow-fruit
move jug to sink,True,68,53,Your task is to grow a cherry,task-4-grow-fruit
pour jug into flower pot 1,True,68,54,Your task is to grow a cherry,task-4-grow-fruit
