action,landmark,variation,order,goal,task_id
open door to hallway,False,86,0,Your task is to grow a lemon,task-4-grow-fruit
go to hallway,False,86,1,Your task is to grow a lemon,task-4-grow-fruit
open door to workshop,False,86,2,Your task is to grow a lemon,task-4-grow-fruit
go to workshop,False,86,3,Your task is to grow a lemon,task-4-grow-fruit
pick up seed jar,True,86,4,Your task is to grow a lemon,task-4-grow-fruit
open door to hallway,False,86,5,Your task is to grow a lemon,task-4-grow-fruit
go to hallway,False,86,6,Your task is to grow a lemon,task-4-grow-fruit
open door to green house,True,86,7,Your task is to grow a lemon,task-4-grow-fruit
go to green house,True,86,8,Your task is to grow a lemon,task-4-grow-fruit
open door to outside,False,86,9,Your task is to grow a lemon,task-4-grow-fruit
go to outside,False,86,10,Your task is to grow a lemon,task-4-grow-fruit
pick up shovel,False,86,11,Your task is to grow a lemon,task-4-grow-fruit
use shovel in inventory on ground,False,86,12,Your task is to grow a lemon,task-4-grow-fruit
pick up soil,False,86,13,Your task is to grow a lemon,task-4-grow-fruit
open door to green house,True,86,14,Your task is to grow a lemon,task-4-grow-fruit
go to green house,True,86,15,Your task is to grow a lemon,task-4-grow-fruit
move soil in inventory to flower pot 3,False,86,16,Your task is to grow a lemon,task-4-grow-fruit
open door to outside,False,86,17,Your task is to grow a lemon,task-4-grow-fruit
go to outside,False,86,18,Your task is to grow a lemon,task-4-grow-fruit
use shovel in inventory on ground,False,86,19,Your task is to grow a lemon,task-4-grow-fruit
pick up soil,False,86,20,Your task is to grow a lemon,task-4-grow-fruit
open door to green house,True,86,21,Your task is to grow a lemon,task-4-grow-fruit
go to green house,True,86,22,Your task is to grow a lemon,task-4-grow-fruit
move soil in inventory to flower pot 1,False,86,23,Your task is to grow a lemon,task-4-grow-fruit
open door to outside,False,86,24,Your task is to grow a lemon,task-4-grow-fruit
go to outside,False,86,25,Your task is to grow a lemon,task-4-grow-fruit
use shovel in inventory on ground,False,86,26,Your task is to grow a lemon,task-4-grow-fruit
pick up soil,False,86,27,Your task is to grow a lemon,task-4-grow-fruit
open door to green house,True,86,28,Your task is to grow a lemon,task-4-grow-fruit
go to green house,True,86,29,Your task is to grow a lemon,task-4-grow-fruit
move soil in inventory to flower pot 2,False,86,30,Your task is to grow a lemon,task-4-grow-fruit
move lemon seed in seed jar to flower pot 3,True,86,31,Your task is to grow a lemon,task-4-grow-fruit
0,True,86,32,Your task is to grow a lemon,task-4-grow-fruit
move lemon seed in seed jar to flower pot 1,True,86,33,Your task is to grow a lemon,task-4-grow-fruit
0,True,86,34,Your task is to grow a lemon,task-4-grow-fruit
move lemon seed in seed jar to flower pot 2,True,86,35,Your task is to grow a lemon,task-4-grow-fruit
0,True,86,36,Your task is to grow a lemon,task-4-grow-fruit
activate sink,True,86,37,Your task is to grow a lemon,task-4-grow-fruit
move jug to sink,True,86,38,Your task is to grow a lemon,task-4-grow-fruit
pour jug into flower pot 3,True,86,39,Your task is to grow a lemon,task-4-grow-fruit
move jug to sink,True,86,40,Your task is to grow a lemon,task-4-grow-fruit
pour jug into flower pot 1,True,86,41,Your task is to grow a lemon,task-4-grow-fruit
move jug to sink,True,86,42,Your task is to grow a lemon,task-4-grow-fruit
pour jug into flower pot 2,True,86,43,Your task is to grow a lemon,task-4-grow-fruit
deactivate sink,True,86,44,Your task is to grow a lemon,task-4-grow-fruit
wait1,True,86,45,Your task is to grow a lemon,task-4-grow-fruit
wait1,True,86,46,Your task is to grow a lemon,task-4-grow-fruit
wait1,True,86,47,Your task is to grow a lemon,task-4-grow-fruit
wait1,True,86,48,Your task is to grow a lemon,task-4-grow-fruit
wait1,True,86,49,Your task is to grow a lemon,task-4-grow-fruit
activate sink,True,86,50,Your task is to grow a lemon,task-4-grow-fruit
move jug to sink,True,86,51,Your task is to grow a lemon,task-4-grow-fruit
pour jug into flower pot 3,True,86,52,Your task is to grow a lemon,task-4-grow-fruit
move jug to sink,True,86,53,Your task is to grow a lemon,task-4-grow-fruit
pour jug into flower pot 1,True,86,54,Your task is to grow a lemon,task-4-grow-fruit
move jug to sink,True,86,55,Your task is to grow a lemon,task-4-grow-fruit
pour jug into flower pot 2,True,86,56,Your task is to grow a lemon,task-4-grow-fruit
deactivate sink,True,86,57,Your task is to grow a lemon,task-4-grow-fruit
close door to hallway,True,86,58,Your task is to grow a lemon,task-4-grow-fruit
close door to outside,True,86,59,Your task is to grow a lemon,task-4-grow-fruit
open bee hive,True,86,60,Your task is to grow a lemon,task-4-grow-fruit
wait1,True,86,61,Your task is to grow a lemon,task-4-grow-fruit
wait1,True,86,62,Your task is to grow a lemon,task-4-grow-fruit
wait1,True,86,63,Your task is to grow a lemon,task-4-grow-fruit
wait1,True,86,64,Your task is to grow a lemon,task-4-grow-fruit
wait1,True,86,65,Your task is to grow a lemon,task-4-grow-fruit
activate sink,True,86,66,Your task is to grow a lemon,task-4-grow-fruit
move jug to sink,True,86,67,Your task is to grow a lemon,task-4-grow-fruit
pour jug into flower pot 3,True,86,68,Your task is to grow a lemon,task-4-grow-fruit
move jug to sink,True,86,69,Your task is to grow a lemon,task-4-grow-fruit
pour jug into flower pot 1,True,86,70,Your task is to grow a lemon,task-4-grow-fruit
move jug to sink,True,86,71,Your task is to grow a lemon,task-4-grow-fruit
pour jug into flower pot 2,True,86,72,Your task is to grow a lemon,task-4-grow-fruit
deactivate sink,True,86,73,Your task is to grow a lemon,task-4-grow-fruit
focus on lemon,False,86,74,Your task is to grow a lemon,task-4-grow-fruit
