action,landmark,variation,order,goal,task_id
open door to hallway,False,104,0,Your task is to grow a orange,task-4-grow-fruit
go to hallway,False,104,1,Your task is to grow a orange,task-4-grow-fruit
open door to workshop,False,104,2,Your task is to grow a orange,task-4-grow-fruit
go to workshop,False,104,3,Your task is to grow a orange,task-4-grow-fruit
pick up seed jar,True,104,4,Your task is to grow a orange,task-4-grow-fruit
open door to hallway,False,104,5,Your task is to grow a orange,task-4-grow-fruit
go to hallway,False,104,6,Your task is to grow a orange,task-4-grow-fruit
open door to green house,True,104,7,Your task is to grow a orange,task-4-grow-fruit
go to green house,True,104,8,Your task is to grow a orange,task-4-grow-fruit
pick up shovel,False,104,9,Your task is to grow a orange,task-4-grow-fruit
open door to outside,False,104,10,Your task is to grow a orange,task-4-grow-fruit
go to outside,False,104,11,Your task is to grow a orange,task-4-grow-fruit
use shovel in inventory on ground,False,104,12,Your task is to grow a orange,task-4-grow-fruit
pick up soil,False,104,13,Your task is to grow a orange,task-4-grow-fruit
open door to green house,True,104,14,Your task is to grow a orange,task-4-grow-fruit
go to green house,True,104,15,Your task is to grow a orange,task-4-grow-fruit
move soil in inventory to flower pot 3,False,104,16,Your task is to grow a orange,task-4-grow-fruit
open door to outside,False,104,17,Your task is to grow a orange,task-4-grow-fruit
go to outside,False,104,18,Your task is to grow a orange,task-4-grow-fruit
use shovel in inventory on ground,False,104,19,Your task is to grow a orange,task-4-grow-fruit
pick up soil,False,104,20,Your task is to grow a orange,task-4-grow-fruit
open door to green house,True,104,21,Your task is to grow a orange,task-4-grow-fruit
go to green house,True,104,22,Your task is to grow a orange,task-4-grow-fruit
move soil in inventory to flower pot 1,False,104,23,Your task is to grow a orange,task-4-grow-fruit
open door to outside,False,104,24,Your task is to grow a orange,task-4-grow-fruit
go to outside,False,104,25,Your task is to grow a orange,task-4-grow-fruit
use shovel in inventory on ground,False,104,26,Your task is to grow a orange,task-4-grow-fruit
pick up soil,False,104,27,Your task is to grow a orange,task-4-grow-fruit
open door to green house,True,104,28,Your task is to grow a orange,task-4-grow-fruit
go to green house,True,104,29,Your task is to grow a orange,task-4-grow-fruit
move soil in inventory to flower pot 2,False,104,30,Your task is to grow a orange,task-4-grow-fruit
move orange seed in seed jar to flower pot 3,True,104,31,Your task is to grow a orange,task-4-grow-fruit
0,True,104,32,Your task is to grow a orange,task-4-grow-fruit
move orange seed in seed jar to flower pot 1,True,104,33,Your task is to grow a orange,task-4-grow-fruit
0,True,104,34,Your task is to grow a orange,task-4-grow-fruit
move orange seed in seed jar to flower pot 2,True,104,35,Your task is to grow a orange,task-4-grow-fruit
0,True,104,36,Your task is to grow a orange,task-4-grow-fruit
activate sink,True,104,37,Your task is to grow a orange,task-4-grow-fruit
move jug to sink,True,104,38,Your task is to grow a orange,task-4-grow-fruit
pour jug into flower pot 3,True,104,39,Your task is to grow a orange,task-4-grow-fruit
move jug to sink,True,104,40,Your task is to grow a orange,task-4-grow-fruit
pour jug into flower pot 1,True,104,41,Your task is to grow a orange,task-4-grow-fruit
move jug to sink,True,104,42,Your task is to grow a orange,task-4-grow-fruit
pour jug into flower pot 2,True,104,43,Your task is to grow a orange,task-4-grow-fruit
deactivate sink,True,104,44,Your task is to grow a orange,task-4-grow-fruit
wait1,True,104,45,Your task is to grow a orange,task-4-grow-fruit
wait1,True,104,46,Your task is to grow a orange,task-4-grow-fruit
wait1,True,104,47,Your task is to grow a orange,task-4-grow-fruit
wait1,True,104,48,Your task is to grow a orange,task-4-grow-fruit
wait1,True,104,49,Your task is to grow a orange,task-4-grow-fruit
activate sink,True,104,50,Your task is to grow a orange,task-4-grow-fruit
move jug to sink,True,104,51,Your task is to grow a orange,task-4-grow-fruit
pour jug into flower pot 3,True,104,52,Your task is to grow a orange,task-4-grow-fruit
move jug to sink,True,104,53,Your task is to grow a orange,task-4-grow-fruit
pour jug into flower pot 1,True,104,54,Your task is to grow a orange,task-4-grow-fruit
move jug to sink,True,104,55,Your task is to grow a orange,task-4-grow-fruit
pour jug into flower pot 2,True,104,56,Your task is to grow a orange,task-4-grow-fruit
deactivate sink,True,104,57,Your task is to grow a orange,task-4-grow-fruit
close door to hallway,True,104,58,Your task is to grow a orange,task-4-grow-fruit
close door to outside,True,104,59,Your task is to grow a orange,task-4-grow-fruit
open bee hive,True,104,60,Your task is to grow a orange,task-4-grow-fruit
wait1,True,104,61,Your task is to grow a orange,task-4-grow-fruit
wait1,True,104,62,Your task is to grow a orange,task-4-grow-fruit
wait1,True,104,63,Your task is to grow a orange,task-4-grow-fruit
wait1,True,104,64,Your task is to grow a orange,task-4-grow-fruit
wait1,True,104,65,Your task is to grow a orange,task-4-grow-fruit
activate sink,True,104,66,Your task is to grow a orange,task-4-grow-fruit
move jug to sink,True,104,67,Your task is to grow a orange,task-4-grow-fruit
pour jug into flower pot 3,True,104,68,Your task is to grow a orange,task-4-grow-fruit
move jug to sink,True,104,69,Your task is to grow a orange,task-4-grow-fruit
pour jug into flower pot 1,True,104,70,Your task is to grow a orange,task-4-grow-fruit
move jug to sink,True,104,71,Your task is to grow a orange,task-4-grow-fruit
pour jug into flower pot 2,True,104,72,Your task is to grow a orange,task-4-grow-fruit
deactivate sink,True,104,73,Your task is to grow a orange,task-4-grow-fruit
focus on orange on orange tree in the reproducing stage,False,104,74,Your task is to grow a orange,task-4-grow-fruit
0,True,104,75,Your task is to grow a orange,task-4-grow-fruit
