action,landmark,variation,order,goal,task_id
open door to hallway,False,12,0,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
go to hallway,False,12,1,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
open door to kitchen,True,12,2,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
go to kitchen,True,12,3,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
open cupboard,True,12,4,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
pick up ceramic cup,False,12,5,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
open door to hallway,False,12,6,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
go to hallway,False,12,7,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
open door to workshop,False,12,8,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
go to workshop,False,12,9,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
pick up recipe,True,12,10,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
read recipe in inventory,True,12,11,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
pick up banana,True,12,12,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
move banana to ceramic cup,False,12,13,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
pick up bread,True,12,14,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
move bread to ceramic cup,False,12,15,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
examine ceramic cup,False,12,16,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
mix ceramic cup,False,12,17,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
focus on banana sandwhich,True,12,18,Your task is to use chemistry to create the substance 'banana sandwhich',task-5-chemistry-mix
