action,landmark,variation,order,goal,task_id
open door to kitchen,True,13,0,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
go to kitchen,True,13,1,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
open cupboard,True,13,2,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
pick up cup containing nothing in table,True,13,3,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
open door to hallway,True,13,4,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
go to hallway,True,13,5,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
open door to workshop,True,13,6,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
go to workshop,True,13,7,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
pick up recipe,True,13,8,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
read recipe in inventory,True,13,9,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
pick up paper,True,13,10,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
move paper to cup,False,13,11,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
open freezer,True,13,12,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
open door to hallway,True,13,13,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
go to hallway,True,13,14,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
open door to bedroom,True,13,15,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
go to bedroom,True,13,16,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
open door to hallway,True,13,17,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
go to hallway,True,13,18,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
open door to art studio,True,13,19,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
go to art studio,True,13,20,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
pick up cup containing blue paint in art studio,True,13,21,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
pour cup containing blue paint in inventory into cup containing paper,True,13,22,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
examine cup containing blue paint and paper,True,13,23,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
mix cup containing blue paint and paper,True,13,24,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
focus on blue paper,True,13,25,Your task is to use chemistry to create the substance 'blue paper',task-5-chemistry-mix
