action,landmark,variation,order,goal,task_id
open door to hallway,False,22,0,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
go to hallway,False,22,1,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
open door to kitchen,True,22,2,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
go to kitchen,True,22,3,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
open cupboard,True,22,4,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
pick up metal pot,False,22,5,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
open door to hallway,False,22,6,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
go to hallway,False,22,7,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
open door to workshop,False,22,8,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
go to workshop,False,22,9,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
pick up recipe,True,22,10,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
read recipe in inventory,True,22,11,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
pick up apple,True,22,12,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
move apple to metal pot,False,22,13,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
pick up orange in room,False,22,14,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
move orange on inventory to metal pot,False,22,15,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
0,True,22,16,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
pick up banana,True,22,17,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
move banana to metal pot,False,22,18,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
examine metal pot,False,22,19,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
mix metal pot,False,22,20,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
focus on fruit salad,True,22,21,Your task is to use chemistry to create the substance 'fruit salad',task-5-chemistry-mix
