action,landmark,variation,order,goal,task_id
open door to kitchen,True,29,0,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
go to kitchen,True,29,1,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
open cupboard,True,29,2,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
pick up metal pot,True,29,3,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
open door to hallway,True,29,4,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
go to hallway,True,29,5,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
open door to workshop,False,29,6,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
go to workshop,False,29,7,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
pick up recipe,True,29,8,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
read recipe in inventory,True,29,9,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
pick up peanut,True,29,10,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
move peanut to metal pot,True,29,11,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
pick up banana,True,29,12,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
move banana to metal pot,True,29,13,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
pick up bread,True,29,14,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
move bread to metal pot,True,29,15,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
examine metal pot,True,29,16,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
mix metal pot,True,29,17,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
focus on peanut butter with banana sandwhich,True,29,18,Your task is to use chemistry to create the substance 'peanut butter with banana sandwhich',task-5-chemistry-mix
