action,landmark,variation,order,goal,task_id
open door to hallway,False,15,0,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
go to hallway,False,15,1,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
open door to kitchen,True,15,2,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
go to kitchen,True,15,3,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
open cupboard,True,15,4,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
pick up metal pot,False,15,5,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
open door to hallway,False,15,6,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
go to hallway,False,15,7,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
open door to workshop,False,15,8,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
go to workshop,False,15,9,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
pick up recipe,True,15,10,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
read recipe in inventory,True,15,11,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
pick up peanut,True,15,12,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
move peanut to metal pot,False,15,13,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
pick up jam,True,15,14,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
move jam to metal pot,False,15,15,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
pick up bread,True,15,16,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
move bread to metal pot,False,15,17,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
examine metal pot,False,15,18,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
mix metal pot,False,15,19,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
focus on peanut butter with jam sandwhich,True,15,20,Your task is to use chemistry to create the substance 'peanut butter with jam sandwhich',task-5-chemistry-mix
