action,landmark,variation,order,goal,task_id
open door to outside,False,26,0,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
go to outside,False,26,1,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
open door to kitchen,False,26,2,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
go to kitchen,False,26,3,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
open cupboard,True,26,4,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
pick up ceramic cup,False,26,5,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
pick up recipe,True,26,6,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
read recipe in inventory,True,26,7,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
pick up block,True,26,8,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
move block to ceramic cup,False,26,9,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
move ceramic cup to sink,False,26,10,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
activate sink,True,26,11,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
deactivate sink,True,26,12,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
pick up ceramic cup,False,26,13,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
pour ceramic cup into ceramic cup,False,26,14,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
examine ceramic cup,False,26,15,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
mix ceramic cup,False,26,16,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
focus on rust,True,26,17,Your task is to use chemistry to create the substance 'rust',task-5-chemistry-mix
