action,landmark,variation,order,goal,task_id
open door to hallway,True,1,0,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
go to hallway,True,1,1,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
open door to kitchen,True,1,2,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
go to kitchen,True,1,3,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
open cupboard,True,1,4,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
pick up ceramic cup,True,1,5,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
pick up recipe,True,1,6,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
read recipe in inventory,True,1,7,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
pick up soap,True,1,8,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
move soap to ceramic cup,True,1,9,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
move ceramic cup to sink,True,1,10,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
activate sink,True,1,11,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
deactivate sink,True,1,12,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
pick up ceramic cup,True,1,13,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
pour ceramic cup into ceramic cup,True,1,14,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
examine ceramic cup,True,1,15,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
mix ceramic cup,True,1,16,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
focus on soapy water,True,1,17,Your task is to use chemistry to create the substance 'soapy water',task-5-chemistry-mix
