action,landmark,variation,order,goal,task_id
open door to kitchen,True,28,0,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
go to kitchen,True,28,1,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
open cupboard,True,28,2,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
pick up tin cup,False,28,3,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
open door to hallway,False,28,4,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
go to hallway,False,28,5,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
open door to workshop,False,28,6,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
go to workshop,False,28,7,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
pick up recipe,True,28,8,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
read recipe in inventory,True,28,9,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
pick up sugar,True,28,10,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
move substance in inventory to cup,False,28,11,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
pick up cup,False,28,12,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
pick up cup,False,28,13,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
open door to hallway,False,28,14,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
go to hallway,False,28,15,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
pick up cup,False,28,16,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
open door to bedroom,False,28,17,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
go to bedroom,False,28,18,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
pick up cup,False,28,19,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
open door to hallway,False,28,20,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
go to hallway,False,28,21,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
pick up cup,False,28,22,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
open door to art studio,False,28,23,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
go to art studio,False,28,24,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
pick up cup containing sugar,False,28,25,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
open door to hallway,False,28,26,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
go to hallway,False,28,27,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
pick up cup,False,28,28,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
open door to living room,False,28,29,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
go to living room,False,28,30,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
pick up cup,False,28,31,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
open door to hallway,False,28,32,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
go to hallway,False,28,33,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
pick up cup,False,28,34,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
open door to green house,False,28,35,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
go to green house,False,28,36,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
move cup to sink,False,28,37,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
activate sink,True,28,38,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
deactivate sink,True,28,39,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
pick up cup,False,28,40,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
pour cup into cup,False,28,41,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
examine cup,False,28,42,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
mix cup,False,28,43,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
focus on substance in cup,True,28,44,Your task is to use chemistry to create the substance 'sugar water',task-5-chemistry-mix
