action,landmark,variation,order,goal,task_id
open door to outside,False,6,0,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
go to outside,False,6,1,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
focus on egg moth in outside,False,6,2,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,3,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,4,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,5,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,6,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,7,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,8,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,9,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,10,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,11,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
focus on caterpillar moth in outside,False,6,12,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,13,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,14,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,15,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,16,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,17,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,18,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,19,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,20,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,21,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
focus on pupa moth in outside,False,6,22,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,23,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,24,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,25,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,26,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,27,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,28,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,29,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,30,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,31,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,6,32,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
focus on adult moth in outside,False,6,33,"Your task is to focus on the 4 life stages of the moth, starting from earliest to latest",task-7-identify-life-stages-1
