action,landmark,variation,order,goal,task_id
open door to kitchen,False,4,0,"Your task is to focus on the life stages of the cherry plant, starting from earliest to latest",task-7-identify-life-stages-2
go to kitchen,False,4,1,"Your task is to focus on the life stages of the cherry plant, starting from earliest to latest",task-7-identify-life-stages-2
open door to outside,False,4,2,"Your task is to focus on the life stages of the cherry plant, starting from earliest to latest",task-7-identify-life-stages-2
go to outside,False,4,3,"Your task is to focus on the life stages of the cherry plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on cherry seed in the seed stage in self watering flower pot 8,False,4,4,"Your task is to focus on the life stages of the cherry plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on cherry tree in the seedling stage in self watering flower pot 3,False,4,5,"Your task is to focus on the life stages of the cherry plant, starting from earliest to latest",task-7-identify-life-stages-2
wait1,False,4,6,"Your task is to focus on the life stages of the cherry plant, starting from earliest to latest",task-7-identify-life-stages-2
wait1,False,4,7,"Your task is to focus on the life stages of the cherry plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on cherry tree in the adult stage in self watering flower pot 3,False,4,8,"Your task is to focus on the life stages of the cherry plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on cherry tree in the reproducing stage in self watering flower pot 4,False,4,9,"Your task is to focus on the life stages of the cherry plant, starting from earliest to latest",task-7-identify-life-stages-2
