action,landmark,variation,order,goal,task_id
open door to hallway,False,5,0,"Your task is to focus on the life stages of the grapefruit plant, starting from earliest to latest",task-7-identify-life-stages-2
go to hallway,False,5,1,"Your task is to focus on the life stages of the grapefruit plant, starting from earliest to latest",task-7-identify-life-stages-2
open door to green house,False,5,2,"Your task is to focus on the life stages of the grapefruit plant, starting from earliest to latest",task-7-identify-life-stages-2
go to green house,False,5,3,"Your task is to focus on the life stages of the grapefruit plant, starting from earliest to latest",task-7-identify-life-stages-2
open door to outside,False,5,4,"Your task is to focus on the life stages of the grapefruit plant, starting from earliest to latest",task-7-identify-life-stages-2
go to outside,False,5,5,"Your task is to focus on the life stages of the grapefruit plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on grapefruit seed in the seed stage in self watering flower pot 9,False,5,6,"Your task is to focus on the life stages of the grapefruit plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on grapefruit tree in the seedling stage in self watering flower pot 1,False,5,7,"Your task is to focus on the life stages of the grapefruit plant, starting from earliest to latest",task-7-identify-life-stages-2
wait1,False,5,8,"Your task is to focus on the life stages of the grapefruit plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on grapefruit tree in the adult stage in self watering flower pot 1,False,5,9,"Your task is to focus on the life stages of the grapefruit plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on grapefruit tree in the reproducing stage in self watering flower pot 5,False,5,10,"Your task is to focus on the life stages of the grapefruit plant, starting from earliest to latest",task-7-identify-life-stages-2
