action,landmark,variation,order,goal,task_id
open door to hallway,False,9,0,"Your task is to focus on the life stages of the pear plant, starting from earliest to latest",task-7-identify-life-stages-2
go to hallway,False,9,1,"Your task is to focus on the life stages of the pear plant, starting from earliest to latest",task-7-identify-life-stages-2
open door to kitchen,False,9,2,"Your task is to focus on the life stages of the pear plant, starting from earliest to latest",task-7-identify-life-stages-2
go to kitchen,False,9,3,"Your task is to focus on the life stages of the pear plant, starting from earliest to latest",task-7-identify-life-stages-2
open door to outside,False,9,4,"Your task is to focus on the life stages of the pear plant, starting from earliest to latest",task-7-identify-life-stages-2
go to outside,False,9,5,"Your task is to focus on the life stages of the pear plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on pear seed in the seed stage in self watering flower pot 3,False,9,6,"Your task is to focus on the life stages of the pear plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on pear tree in the seedling stage in self watering flower pot 2,False,9,7,"Your task is to focus on the life stages of the pear plant, starting from earliest to latest",task-7-identify-life-stages-2
wait1,False,9,8,"Your task is to focus on the life stages of the pear plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on pear tree in the adult stage in self watering flower pot 2,False,9,9,"Your task is to focus on the life stages of the pear plant, starting from earliest to latest",task-7-identify-life-stages-2
focus on pear tree in the reproducing stage in self watering flower pot 9,False,9,10,"Your task is to focus on the life stages of the pear plant, starting from earliest to latest",task-7-identify-life-stages-2
