num_bdi_actions,num_rl_actions,plan_found,variation,error,score,bdi_score,complete,num_plans,plan_library_size,plans_pct,eps
0,100,0,21,True,0,0,False,0,25,1,117
26,100,1,22,False,100,100,False,6,25,1,117
8,94,1,23,True,3,3,True,4,25,1,117
34,94,1,24,False,100,100,False,8,25,1,117
12,90,1,25,True,3,3,True,5,25,1,117
28,90,1,26,False,100,100,False,7,25,1,117
28,90,1,27,False,100,100,False,7,25,1,117
26,90,1,28,False,100,100,False,7,25,1,117
26,90,1,29,False,100,100,False,7,25,1,117
0,100,0,21,True,0,0,False,0,25,1,173
26,100,1,22,False,100,100,False,6,25,1,173
8,94,1,23,True,3,3,True,4,25,1,173
34,94,1,24,False,100,100,False,8,25,1,173
12,90,1,25,True,3,3,True,5,25,1,173
28,90,1,26,False,100,100,False,7,25,1,173
28,90,1,27,False,100,100,False,7,25,1,173
26,90,1,28,False,100,100,False,7,25,1,173
26,90,1,29,False,100,100,False,7,25,1,173
0,100,0,21,True,0,0,False,0,25,1,231
26,100,1,22,False,100,100,False,6,25,1,231
8,94,1,23,True,3,3,True,4,25,1,231
34,94,1,24,False,100,100,False,8,25,1,231
12,90,1,25,True,3,3,True,5,25,1,231
28,90,1,26,False,100,100,False,7,25,1,231
28,90,1,27,False,100,100,False,7,25,1,231
26,90,1,28,False,100,100,False,7,25,1,231
26,90,1,29,False,100,100,False,7,25,1,231
0,100,0,21,True,0,0,False,0,25,1,288
26,100,1,22,False,100,100,False,6,25,1,288
8,94,1,23,True,3,3,True,4,25,1,288
34,94,1,24,False,100,100,False,8,25,1,288
12,90,1,25,True,3,3,True,5,25,1,288
28,90,1,26,False,100,100,False,7,25,1,288
28,90,1,27,False,100,100,False,7,25,1,288
26,90,1,28,False,100,100,False,7,25,1,288
26,90,1,29,False,100,100,False,7,25,1,288
0,100,0,21,True,0,0,False,0,25,1,344
26,100,1,22,False,100,100,False,6,25,1,344
8,94,1,23,True,3,3,True,4,25,1,344
34,94,1,24,False,100,100,False,8,25,1,344
12,90,1,25,True,3,3,True,5,25,1,344
28,90,1,26,False,100,100,False,7,25,1,344
28,90,1,27,False,100,100,False,7,25,1,344
26,90,1,28,False,100,100,False,7,25,1,344
26,90,1,29,False,100,100,False,7,25,1,344
0,20,0,21,True,0,0,True,0,25,1,400
26,20,1,22,False,100,100,False,6,25,1,400
8,12,1,23,True,3,3,True,4,25,1,400
34,12,1,24,False,100,100,False,8,25,1,400
12,11,1,25,True,3,3,True,5,25,1,400
28,11,1,26,False,100,100,False,7,25,1,400
28,11,1,27,False,100,100,False,7,25,1,400
26,11,1,28,False,100,100,False,7,25,1,400
26,11,1,29,False,100,100,False,7,25,1,400
0,100,0,21,True,0,0,False,0,25,1,457
26,100,1,22,False,100,100,False,6,25,1,457
8,94,1,23,True,3,3,True,4,25,1,457
34,94,1,24,False,100,100,False,8,25,1,457
12,90,1,25,True,3,3,True,5,25,1,457
28,90,1,26,False,100,100,False,7,25,1,457
28,90,1,27,False,100,100,False,7,25,1,457
26,90,1,28,False,100,100,False,7,25,1,457
26,90,1,29,False,100,100,False,7,25,1,457
0,100,0,21,True,0,0,False,0,25,1,512
26,100,1,22,False,100,100,False,6,25,1,512
8,94,1,23,True,5,3,True,4,25,1,512
34,94,1,24,False,100,100,False,8,25,1,512
12,90,1,25,True,5,3,True,5,25,1,512
28,90,1,26,False,100,100,False,7,25,1,512
28,90,1,27,False,100,100,False,7,25,1,512
26,90,1,28,False,100,100,False,7,25,1,512
26,90,1,29,False,100,100,False,7,25,1,512
0,100,0,21,True,0,0,False,0,25,1,565
26,100,1,22,False,100,100,False,6,25,1,565
8,94,1,23,True,5,3,True,4,25,1,565
34,94,1,24,False,100,100,False,8,25,1,565
12,90,1,25,True,5,3,True,5,25,1,565
28,90,1,26,False,100,100,False,7,25,1,565
28,90,1,27,False,100,100,False,7,25,1,565
26,90,1,28,False,100,100,False,7,25,1,565
26,90,1,29,False,100,100,False,7,25,1,565
0,100,0,21,True,0,0,False,0,25,1,614
26,100,1,22,False,100,100,False,6,25,1,614
8,94,1,23,True,5,3,True,4,25,1,614
34,94,1,24,False,100,100,False,8,25,1,614
