num_bdi_actions,num_rl_actions,plan_found,variation,error,bdi_score,rl_score,final_score,complete,num_plans,plan_library_size,plans_pct,eps
0,1,0,21,True,0,0,-100,True,0,25,1,119
26,0,1,22,False,100,0,100,True,6,25,1,119
8,1,1,23,True,3,0,-100,True,4,25,1,119
34,0,1,24,False,100,0,100,True,8,25,1,119
12,1,1,25,True,3,0,-100,True,5,25,1,119
28,0,1,26,False,100,0,100,True,7,25,1,119
28,0,1,27,False,100,0,100,True,7,25,1,119
26,0,1,28,False,100,0,100,True,7,25,1,119
26,0,1,29,False,100,0,100,True,7,25,1,119
0,1,0,21,True,0,0,-100,True,0,25,1,176
26,0,1,22,False,100,0,100,True,6,25,1,176
8,1,1,23,True,3,0,-100,True,4,25,1,176
34,0,1,24,False,100,0,100,True,8,25,1,176
12,1,1,25,True,3,0,-100,True,5,25,1,176
28,0,1,26,False,100,0,100,True,7,25,1,176
28,0,1,27,False,100,0,100,True,7,25,1,176
26,0,1,28,False,100,0,100,True,7,25,1,176
26,0,1,29,False,100,0,100,True,7,25,1,176
0,100,0,21,True,0,3,3,False,0,25,1,233
26,0,1,22,False,100,0,100,True,6,25,1,233
8,94,1,23,True,3,0,3,True,4,25,1,233
34,0,1,24,False,100,0,100,True,8,25,1,233
12,90,1,25,True,3,0,3,True,5,25,1,233
28,0,1,26,False,100,0,100,True,7,25,1,233
28,0,1,27,False,100,0,100,True,7,25,1,233
26,0,1,28,False,100,0,100,True,7,25,1,233
26,0,1,29,False,100,0,100,True,7,25,1,233
0,1,0,21,True,0,0,-100,True,0,25,1,294
26,0,1,22,False,100,0,100,True,6,25,1,294
8,1,1,23,True,3,0,-100,True,4,25,1,294
34,0,1,24,False,100,0,100,True,8,25,1,294
12,1,1,25,True,3,0,-100,True,5,25,1,294
28,0,1,26,False,100,0,100,True,7,25,1,294
28,0,1,27,False,100,0,100,True,7,25,1,294
26,0,1,28,False,100,0,100,True,7,25,1,294
26,0,1,29,False,100,0,100,True,7,25,1,294
0,1,0,21,True,0,0,-100,True,0,25,1,352
26,0,1,22,False,100,0,100,True,6,25,1,352
8,1,1,23,True,3,0,-100,True,4,25,1,352
34,0,1,24,False,100,0,100,True,8,25,1,352
12,1,1,25,True,3,0,-100,True,5,25,1,352
28,0,1,26,False,100,0,100,True,7,25,1,352
28,0,1,27,False,100,0,100,True,7,25,1,352
26,0,1,28,False,100,0,100,True,7,25,1,352
26,0,1,29,False,100,0,100,True,7,25,1,352
0,1,0,21,True,0,0,-100,True,0,25,1,407
26,0,1,22,False,100,0,100,True,6,25,1,407
8,1,1,23,True,3,0,-100,True,4,25,1,407
34,0,1,24,False,100,0,100,True,8,25,1,407
12,1,1,25,True,3,0,-100,True,5,25,1,407
28,0,1,26,False,100,0,100,True,7,25,1,407
28,0,1,27,False,100,0,100,True,7,25,1,407
26,0,1,28,False,100,0,100,True,7,25,1,407
26,0,1,29,False,100,0,100,True,7,25,1,407
0,100,0,21,True,0,0,0,False,0,25,1,461
26,0,1,22,False,100,0,100,True,6,25,1,461
8,94,1,23,True,3,0,3,True,4,25,1,461
34,0,1,24,False,100,0,100,True,8,25,1,461
12,90,1,25,True,3,0,3,True,5,25,1,461
28,0,1,26,False,100,0,100,True,7,25,1,461
28,0,1,27,False,100,0,100,True,7,25,1,461
26,0,1,28,False,100,0,100,True,7,25,1,461
26,0,1,29,False,100,0,100,True,7,25,1,461
0,1,0,21,True,0,0,-100,True,0,25,1,520
26,0,1,22,False,100,0,100,True,6,25,1,520
8,1,1,23,True,3,0,-100,True,4,25,1,520
34,0,1,24,False,100,0,100,True,8,25,1,520
12,1,1,25,True,3,0,-100,True,5,25,1,520
28,0,1,26,False,100,0,100,True,7,25,1,520
28,0,1,27,False,100,0,100,True,7,25,1,520
26,0,1,28,False,100,0,100,True,7,25,1,520
26,0,1,29,False,100,0,100,True,7,25,1,520
0,100,0,21,True,0,0,0,False,0,25,1,576
26,0,1,22,False,100,0,100,True,6,25,1,576
8,94,1,23,True,3,0,3,True,4,25,1,576
34,0,1,24,False,100,0,100,True,8,25,1,576
12,90,1,25,True,3,0,3,True,5,25,1,576
28,0,1,26,False,100,0,100,True,7,25,1,576
