train_id,emb_dim,h_dim,latent_dim,categorical_dim,batch_size,save_model,initial_temp,min_temp,epochs,anneal_rate,activation,model_name,lr,current_epoch,train_loss,kld,recon_loss
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,0,23.858523943147606,0.0034209524245304955,23.855102971113848
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,1,16.720428371956334,0.0002513191677521894,16.720177065601664
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,2,15.207078812530685,0.00019264026316338174,15.206886212470122
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,3,14.663487149865588,0.0001773675890814369,14.663309755904898
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,4,14.339100900934547,0.00023204679485122308,14.33886887355404
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,5,14.138851076199863,0.0001842668527629206,14.138666801031123
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,6,14.101707906354198,0.0002360354399228808,14.101471869326428
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,7,13.950176254820429,0.00018127767752807136,13.949994940784096
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,8,13.889407005099303,0.00017919450284699647,13.88922784078187
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,9,13.816246601758083,0.0002050184605685603,13.816041603931406
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,10,13.727401459414656,0.00017054948826495414,13.727230915048505
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,11,14.000459697365102,0.00023793376154441242,14.000221768795456
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,12,13.682097298005667,0.00016516630332955566,13.681932117398931
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,13,13.67106528835402,0.000156112575053896,13.670909159749911
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,14,13.656240394760891,0.0001485324716381986,13.656091848131043
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,15,13.606230835888267,0.00017820797384348672,13.60605263578299
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,16,13.574688152713671,0.0001625355840557723,13.57452565925556
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,17,13.550016487500944,0.00014227658390576916,13.549874184539963
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,18,13.509540004624846,0.00029964141646729404,13.509240366477334
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,19,13.549961559021671,0.0001721121134424263,13.549789481400126
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,20,13.581954998206038,0.00022406841460062264,13.581730921624116
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,21,13.555993285626997,0.00016866956050546315,13.555824611727045
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,22,13.538531861911162,0.00022945588857233937,13.538302432107661
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,23,13.52059634087494,0.00021386395551994936,13.520382454382123
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,24,13.495886860631447,0.0001849266290420265,13.495701905772172
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,25,13.499979219383956,0.0002864021631034904,13.499692864180929
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,26,13.471335152894753,0.00032993716181986527,13.471005229001547
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,27,13.46353343837169,0.00039248105324418876,13.463140972411434
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,28,13.450653223701604,0.0005480248001224016,13.450105208718316
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,29,13.530926899356738,0.000649487705533367,13.530277378651318
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,30,13.475966253333329,0.0008424780526435137,13.475123758474108
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,31,13.446934620978423,0.0003752805355637854,13.446559352769377
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,32,13.398843628266897,0.000596540236526596,13.398247070734014
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,33,13.366857439114902,0.00036318519635728007,13.366494247267918
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,34,13.360962862467897,0.00044346147796360373,13.36051939337293
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,35,13.316015359446489,0.00044414695099546724,13.315571200123149
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,36,13.366620453681735,0.0006031977235936452,13.366017283655662
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,37,13.345056196602668,0.00047857150418081874,13.344577615432318
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,38,13.42041947696749,0.0004279407164794573,13.419991535376449
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,39,13.415292455346545,0.0008025030819030262,13.41448993050591
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,40,13.455948987718445,0.0005440600345024417,13.455404945499989
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,41,13.461315075995513,0.0007776560577646268,13.46053742045197
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,42,13.478313962398971,0.00038804630916154025,13.477925901254896
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,43,13.480726210451916,0.0005678325780224858,13.480158347451226
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,44,13.479216201529319,0.0005198089159556885,13.47869638579985
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,45,13.565956906060487,0.0006019699838120511,13.565354900465486
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,46,13.620499400144125,0.0006952157262738445,13.619804155760708
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,47,13.563715091726397,0.00098875977866897,13.56272633694812
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,48,13.583949410454345,0.0010452565405188509,13.58290414652113
FatzuhGa,128,512,16,2,128,True,1,0.5,50,3e-05,gumbel,,0.001,49,13.535746563864018,0.0015706038636345808,13.534175978181112
